soil_series,texture,slope,erosion,drainage,soil_region,corn_base,soybeans_base,wheat_base,oats_base,hay_base,prod_index
BETHESDA,SHV-CL,3-15,S,W,3,0,0,0,0,1.5,25
BETHESDA,SHV-CL,8-25,S,W,3,0,0,0,0,1.5,25
BETHESDA,CL,0-8,S,W,3,0,0,15,35,2,32
BETHESDA,CL,8-25,S,W,3,0,0,15,33,1.5,26
BETHESDA,SICL,0-8,S,W,3,0,0,15,35,1.5,26
BETHESDA,SICL,2-12,S,W,3,0,0,20,35,2,33
BETHESDA,SICL,8-20,S,W,3,0,0,15,35,1.5,26
BETHESDA,SICL,15-25,S,W,3,0,0,15,30,1.5,26
BETHESDA,CN-SICL,0-8,S,W,3,0,0,0,0,2,33
BETHESDA,CN-SICL,8-25,S,W,3,0,0,0,0,1.5,25
BETHESDA,SH-SICL,0-8,S,W,3,0,0,0,0,2,33
BETHESDA,SH-SICL,8-25,S,W,3,0,0,0,0,1.5,25
BETHESDA,SHV-SIC,0-8,S,W,3,0,0,0,0,2,33
BETHESDA,SH-SIL,1-15,S,W,3,0,0,0,0,1.7,28
BETHESDA,SH-SIL,15-25,S,W,3,0,0,0,0,1.5,25
"BIGLICK-MILTON,C",,0-2,S,W,3,69,26,35,70,3.3,54
"BIGLICK-MILTON,C",,2-6,S,W,3,68,25,34,70,3.3,54
BIRKBECK,SIL,0-2,S,MW,2,122,42,52,74,5,82
BIRKBECK,SIL,1-4,S,MW,2,120,41,51,73,4.9,81
BIRKBECK,SIL,2-6,S,MW,2,117,40,50,70,4.8,79
BIRKBECK,SIL,2-6,M,MW,2,112,38,48,67,4.6,76
BIXLER,LFS,0-2,S,SWP,2,100,36,38,78,4.2,69
BIXLER,LFS,0-3,S,SWP,2,100,36,38,78,4.2,69
BIXLER,LFS,2-6,S,SWP,2,96,34,36,74,4,66
"BIXLER,C-SUBST",LS,0-2,S,SWP,2,98,34,36,76,4,67
"BLAIRTON-RARDEN-GILPIN,AS",,5-20,S,MW,3,85,25,35,60,3.5,57
BLAKESLEE,SIL,0-2,S,MW,2,108,36,41,76,4.1,71
BLAKESLEE,SIL,2-6,S,MW,2,105,35,40,75,4,69
BLAKESLEE,SIL,6-12,S,MW,2,95,33,36,70,3.8,64
BLANCHESTER,SICL,0-1,S,VP,2,112,39,44,70,4.9,77
BLANCHESTER,SIL,0-1,S,VP,2,112,39,44,70,4.9,77
BLANCHESTER,SIL,0-2,S,VP,2,115,40,45,72,5,79
BLOUNT,L,0-2,S,SWP,2,114,40,50,76,4.6,78
BLOUNT,L,0-3,S,SWP,2,114,40,50,76,4.6,78
BLOUNT,L,2-6,S,SWP,2,109,38,48,73,4.4,74
BLOUNT,L,2-6,M,SWP,2,105,36,46,70,4.2,71
BLOUNT,SIL,0-2,S,SWP,2,114,40,50,76,4.6,78
BLOUNT,SIL,0-4,S,SWP,2,112,39,49,75,4.5,76
BLOUNT,SIL,2-4,S,SWP,2,110,38,48,74,4.4,75
BLOUNT,SIL,2-6,S,SWP,2,109,38,48,73,4.4,74
BLOUNT,SIL,2-6,M,SWP,2,105,36,46,70,4.2,71
"BLOUNT,L-SUBST",L,0-2,S,SWP,2,114,40,50,76,4.6,78
"BLOUNT,L-SUBST",L,2-6,S,SWP,2,109,38,48,73,4.4,74
"BLOUNT,LM-SUBST",SIL,0-3,S,SWP,2,114,40,50,76,4.6,78
BLOUNT-DEL REY,SIL,1-6,S,SWP,2,105,36,38,70,4,68
"BLOUNT-HOUCKTOWN,C",,0-3,S,SWP,2,112,41,48,78,4.6,77
"BLOUNT-JENERA,C",,0-3,S,SWP,2,113,39,52,79,4.7,79
"BLOUNT-RIMER,C.",,2-6,S,SWP,2,95,32,46,70,4.1,68
BOGART,GR-L,0-2,S,MW,2,106,34,49,85,4,72
BOGART,GR-L,2-6,S,MW,2,102,33,47,82,3.9,69
BOGART,L,0-2,S,MW,2,109,35,50,87,4.1,74
BOGART,L,2-5,S,MW,2,105,34,42,70,4,69
BOGART,L,2-6,S,MW,2,105,34,42,70,4,69
BOGART,L,6-12,M,MW,2,92,32,35,59,3.5,60
BOGART,SL,0-2,S,MW,2,106,34,49,85,4,72
BOGART,SIL,0-2,S,MW,2,109,35,50,87,4.1,74
BOGART,SIL,2-5,S,MW,2,105,34,48,85,4,71
BOGART,SIL,2-6,S,MW,2,105,34,48,85,4,71
BOGART,SIL,6-12,S,MW,2,100,32,34,72,4,66
BOGART,SOILS,5-10,S,MW,2,100,32,46,81,3.8,68
BOGART,SOILS,5-10,M,MW,2,96,31,44,78,3.7,66
"BOGART,T-SUBST",L,2-6,S,MW,2,105,34,42,70,4.3,71
"BOGART,T-SUBST",L,6-12,S,MW,2,92,32,35,59,3.5,60
BOGART-HASKINS,L,2-6,S,MW,2,100,34,45,75,4,69
"BOGART-HASKINS,C",,2-6,S,MW,2,100,34,45,75,4,69
"BOGART,V",L,0-3,S,MW,2,105,38,40,76,4.5,73
"BOGART,V",L,3-8,S,MW,2,100,35,38,70,4.5,70
BONNELL,SIL,15-25,S,W,3,0,0,0,0,3,50
BONNELL,SIL,15-25,M,W,3,0,0,0,0,2.7,45
BONNELL,SICL,15-25,SE,W,3,0,0,0,0,2,33
"BONNIE,FF-PH",SIL,0-2,S,VP,11,85,25,35,0,4,61
"BONNIE,PO-PH",SIL,0-2,S,VP,3,0,0,0,0,0,0
BONO,SICL,0-2,S,VP,2,124,43,49,78,4.3,78
BONO,SIC,0-2,S,VP,2,120,42,48,76,4.2,76
"BONO,LO-SUBST",SIC,0-2,S,VP,2,115,38,45,80,4.3,75
BONPAS,SIL,0-2,S,VP,2,120,42,45,80,4.6,79
"BONPAS,OV-PH",SIL,0-2,S,VP,2,116,41,44,78,4.5,77
BONPAS,SICL,0-2,S,VP,2,116,41,44,78,4.5,77
"BOSTON-BRATTON,C",,6-12,M,W,2,100,26,40,70,4,66
"BOSTON-BRATTON,C",,6-12,SE,W,3,85,20,30,55,3.5,55
"BOSTON-BRATTON,C",,12-18,M,W,3,85,0,35,60,3.6,59
"BOSTON-BRATTON,C",,12-18,SE,W,3,0,0,0,0,2.8,47
"BOSTON-BRATTON,C",,18-25,M,W,3,0,0,0,0,2.8,47
BOSTON-GRAYFORD,SIL,2-6,S,W,2,95,24,40,55,4.2,64
BOSTON-GRAYFORD,SIL,2-6,M,W,2,90,22,36,50,4,60
BOYER,LS,1-6,S,W,2,81,35,39,74,3.7,62
BOYER,LS,6-12,S,W,2,77,33,37,70,3.5,59
BOYER,GR-LS,12-18,S,W,3,50,21,24,40,2,36
BOYER,L,0-4,S,W,2,81,35,39,74,3.7,62
BRACEVILLE,L,0-2,S,MW,2,96,36,40,86,3.6,66
BRACEVILLE,L,2-6,S,MW,2,92,35,38,83,3.5,64
BRACEVILLE,L,6-12,M,MW,2,84,32,36,76,3.2,58
BRADY,SL,0-3,S,SWP,2,90,34,35,60,3.4,59
BRATTON,SIL,2-6,S,W,2,100,30,46,70,4,68
BRATTON,SIL,2-6,M,W,2,96,28,44,66,3.8,64
BRATTON,SIL,2-8,S,W,2,98,29,45,69,3.9,66
BRATTON,SIL,3-8,M,W,2,94,28,43,66,3.7,63
BRATTON,SIL,6-12,M,W,2,92,26,42,62,3.6,61
BRATTON,SIL,12-18,M,W,3,84,24,39,58,3.4,57
BRATTON,SICL,12-18,SE,W,3,80,20,30,55,3,51
"BRATTON-OPEQUON,C",,8-15,M,W,3,78,0,0,0,3.3,55
BRENTON,SIL,0-2,S,SWP,2,139,43,50,83,5.4,89
BRONSON,SL,1-6,S,MW,2,98,37,38,80,3.8,67
BROOKE,SICL,4-12,M,W,2,84,30,36,62,3.8,61
BROOKE,SICL,12-18,M,W,3,78,25,30,54,3.6,55
BROOKE,SICL,12-25,M,W,3,0,0,0,0,2.8,47
BROOKSIDE,SIL,8-15,S,W,2,88,23,37,56,4.3,63
BROOKSIDE,SIL,8-15,M,W,2,85,22,36,54,4.1,60
BROOKSIDE,SIL,15-25,S,W,3,70,0,33,50,3.8,56
BROOKSIDE,SIL,15-25,M,W,3,75,0,25,45,3,49
BROOKSIDE,SICL,6-12,S,W,2,88,23,37,56,4.3,63
BROOKSIDE,SICL,8-15,S,W,2,84,22,35,54,4.1,60
BROOKSIDE,SICL,8-15,M,W,2,81,21,34,52,3.9,57
BROOKSIDE,SICL,12-18,S,W,3,81,21,34,51,3.8,57
