id,org_soil_2017,org_soil_2018,org_soil
"BROOKSIDE-VANDALIA,C15-25MW",FALSE,FALSE,FALSE
"BROOKSIDE-VANDALIA,C15-25SW",FALSE,FALSE,FALSE
"BROOKSIDE-VANDALIA,C8-15SW",FALSE,FALSE,FALSE
BROOKSTONCL0-2SVP,FALSE,FALSE,FALSE
"BROOKSTON,OV-PHSIL0-2SVP",FALSE,FALSE,FALSE
BROOKSTONSICL0-2SVP,FALSE,FALSE,FALSE
BROOKSTONSICL2-6SVP,FALSE,FALSE,FALSE
BROOKSTONSIL0-2SVP,FALSE,FALSE,FALSE
BROUGHTONC12-18MMW,FALSE,FALSE,FALSE
BROUGHTONC18-25SEMW,FALSE,FALSE,FALSE
BROUGHTONC2-6MMW,FALSE,FALSE,FALSE
BROUGHTONC6-12MMW,FALSE,FALSE,FALSE
BROUGHTONC6-12SEMW,FALSE,FALSE,FALSE
BROUGHTONSIC12-18SEMW,FALSE,FALSE,FALSE
BROUGHTONSIC6-12SEMW,FALSE,FALSE,FALSE
BROUGHTONSICL12-18MMW,FALSE,FALSE,FALSE
BROUGHTONSICL2-6MMW,FALSE,FALSE,FALSE
BROUGHTONSICL2-6SMW,FALSE,FALSE,FALSE
BROUGHTONSICL6-12MMW,FALSE,FALSE,FALSE
BROWNSVILLECN-SIL12-18SW,FALSE,FALSE,FALSE
BROWNSVILLECN-SIL15-25SW,FALSE,FALSE,FALSE
BROWNSVILLECN-SIL18-25SW,FALSE,FALSE,FALSE
BROWNSVILLECN-SIL6-12SW,FALSE,FALSE,FALSE
"BROWNSVILLE-WESTMORELAND,C18-25SW",FALSE,FALSE,FALSE
"BRUSHCREEK-LAWSHE,C12-25MMW",FALSE,FALSE,FALSE
BRUSHCREEKSIL6-12MMW,FALSE,FALSE,FALSE
CALCUTTASIL0-3SSWP,FALSE,FALSE,FALSE
CAMBRIDGESIL12-18MMW,FALSE,FALSE,FALSE
CAMBRIDGESIL12-18SMW,FALSE,FALSE,FALSE
CAMBRIDGESIL2-6MMW,FALSE,FALSE,FALSE
CAMBRIDGESIL2-6SMW,FALSE,FALSE,FALSE
CAMBRIDGESIL6-12MMW,FALSE,FALSE,FALSE
CAMBRIDGESIL6-12SMW,FALSE,FALSE,FALSE
"CAMBRIDGE,SS-SUBSTSIL2-6SMW",FALSE,FALSE,FALSE
"CAMBRIDGE,SS-SUBSTSIL6-12MMW",FALSE,FALSE,FALSE
CANADICE-CANEADEASIL0-2SP,FALSE,FALSE,FALSE
CANADICESICL0-2SP,FALSE,FALSE,FALSE
CANADICESIL0-2SP,FALSE,FALSE,FALSE
"CANADICE,VMUCK0-2SP",FALSE,FALSE,FALSE
CANALSIL0-2SSWP,FALSE,FALSE,FALSE
CANASIL12-18MMW,FALSE,FALSE,FALSE
CANASIL12-20MMW,FALSE,FALSE,FALSE
CANASIL2-6MMW,FALSE,FALSE,FALSE
CANASIL2-6SMW,FALSE,FALSE,FALSE
CANASIL6-12MMW,FALSE,FALSE,FALSE
"CANA,VSIL15-25MMW",FALSE,FALSE,FALSE
"CANA,VSIL2-6SMW",FALSE,FALSE,FALSE
"CANA,VSIL6-18SMW",FALSE,FALSE,FALSE
"CANA,VSIL8-15MMW",FALSE,FALSE,FALSE
"CANEADEA-CANADICE,C0-2SSWP",FALSE,FALSE,FALSE
CANEADEA-CANADICESIL0-2SSWP,FALSE,FALSE,FALSE
CANEADEASICL0-2SSWP,FALSE,FALSE,FALSE
CANEADEASICL0-3SSWP,FALSE,FALSE,FALSE
CANEADEASIL0-2SSWP,FALSE,FALSE,FALSE
CANEADEASIL12-18MSWP,FALSE,FALSE,FALSE
CANEADEASIL2-6SSWP,FALSE,FALSE,FALSE
CANEADEASIL6-12MSWP,FALSE,FALSE,FALSE
CANFIELDSIL0-2SMW,FALSE,FALSE,FALSE
CANFIELDSIL12-18MMW,FALSE,FALSE,FALSE
CANFIELDSIL12-18SMW,FALSE,FALSE,FALSE
CANFIELDSIL12-20SMW,FALSE,FALSE,FALSE
CANFIELDSIL2-5MMW,FALSE,FALSE,FALSE
CANFIELDSIL2-5SMW,FALSE,FALSE,FALSE
CANFIELDSIL2-6MMW,FALSE,FALSE,FALSE
CANFIELDSIL2-6SMW,FALSE,FALSE,FALSE
CANFIELDSIL3-8SMW,FALSE,FALSE,FALSE
CANFIELDSIL5-10MMW,FALSE,FALSE,FALSE
CANFIELDSIL5-10SMW,FALSE,FALSE,FALSE
CANFIELDSIL6-12MMW,FALSE,FALSE,FALSE
CANFIELDSIL6-12SMW,FALSE,FALSE,FALSE
CANFIELDSIL8-15SMW,FALSE,FALSE,FALSE
"CANFIELD,SS-SUBSTSIL2-6SMW",FALSE,FALSE,FALSE
"CANFIELD,V,MOD.SHALLOWSIL2-6SMW",FALSE,FALSE,FALSE
"CANFIELD,V,MOD.SHALLOWSIL6-12SMW",FALSE,FALSE,FALSE
CAPTINASIL12-18MMW,FALSE,FALSE,FALSE
CAPTINASIL2-6SMW,FALSE,FALSE,FALSE
CAPTINASIL6-12MMW,FALSE,FALSE,FALSE
CARDINALSIL12-18MMW,FALSE,FALSE,FALSE
CARDINALSIL6-12MMW,FALSE,FALSE,FALSE
CARDINGTONFSL2-6SMW,FALSE,FALSE,FALSE
CARDINGTONSICL6-12MMW,FALSE,FALSE,FALSE
CARDINGTONSICL6-12SEMW,FALSE,FALSE,FALSE
CARDINGTONSIL0-2SMW,FALSE,FALSE,FALSE
CARDINGTONSIL12-18MMW,FALSE,FALSE,FALSE
CARDINGTONSIL12-20MMW,FALSE,FALSE,FALSE
CARDINGTONSIL12-25MMW,FALSE,FALSE,FALSE
CARDINGTONSIL2-6MMW,FALSE,FALSE,FALSE
CARDINGTONSIL2-6SMW,FALSE,FALSE,FALSE
CARDINGTONSIL6-12MMW,FALSE,FALSE,FALSE
CARDINGTONSIL6-12SEMW,FALSE,FALSE,FALSE
CARDINGTONSIL6-12SMW,FALSE,FALSE,FALSE
"CARLISLE,DRAINEDMUCK0-2SVP",TRUE,TRUE,TRUE
