county,real_property_value,public_utility_property_value,tangible_property_value,total_property_value,real_property_tax,public_utility_property_tax,tangible_property_tax,total_property_tax,special_assessments,year
lake,2717159480000,280169860000,472328142000,3469657482000,190033314000,19073339000,32234231000,241340883000,5865011000,1987
lawrence,288134440000,66736900000,51103660000,405975000000,11524387000,2668029000,2089709000,16282124000,200609000,1987
licking,904312830000,116224450000,175419429000,1195956709000,45088598000,5684594000,8174884000,58948076000,487955000,1987
logan,291053300000,35297690000,55560734000,381911724000,14597376000,1780560000,2783517000,19161453000,731025000,1987
lorain,1828982530000,333306390000,348409493000,2510698413000,119075328000,21507103000,22505826000,163088256000,2070437000,1987
lucas,3111807420000,387360280000,787480317000,4286648017000,223983845000,26721165000,53875307000,304580316000,21755674000,1987
madison,226745990000,38002960000,24484514000,289233464000,10491684000,1662734000,1155228000,13309646000,171286000,1987
mahoning,1521294570000,197155290000,224309674000,1942759534000,90953557000,11505246000,13372102000,115830905000,988540000,1987
marion,410825900000,58213050000,95940003000,564978953000,21003056000,2985201000,4836333000,28824590000,522125000,1987
medina,999888760000,114212700000,117760286000,1231861746000,70912053000,7915455000,8210306000,87037814000,2058561000,1987
meigs,127666570000,50363840000,29254813000,207285223000,4889279000,1905823000,1163488000,7958590000,8997000,1987
mercer,293778880000,21710770000,47069620000,362559270000,12667686000,933272000,2008933000,15609891000,520178000,1987
miami,634226010000,72132260000,177285021000,883643291000,35688527000,4012828000,10222478000,49923832000,467240000,1987
monroe,96983550000,30072280000,83585111000,210640941000,4274483000,1322325000,3612540000,9209348000,3449000,1987
montgomery,4131019970000,428888710000,962873567000,5522782247000,272413785000,28234127000,61319510000,361967421000,6216234000,1987
morgan,85590970000,83404910000,18370262000,187366142000,3300675000,3424442000,685987000,7411105000,0,1987
morrow,164329200000,27321630000,17484766000,209135596000,8624236000,1425250000,954494000,11003979000,12252000,1987
muskingum,428704690000,82886350000,85453535000,597044575000,22813807000,4302016000,4619056000,31734879000,494200000,1987
noble,70144520000,20729570000,26404711000,117278801000,3000927000,877263000,1102799000,4980989000,9846000,1987
ottawa,373763510000,272545090000,113665605000,759974205000,20954222000,11068114000,5550925000,37573261000,291998000,1987
paulding,133806490000,20090450000,19833714000,173730654000,7325776000,1085975000,1100530000,9512280000,257110000,1987
perry,144964050000,28868760000,16903884000,190736694000,7842465000,1550647000,929651000,10322763000,7548000,1987
pickaway,278153300000,52233980000,90271055000,420658335000,11855223000,2200174000,3730501000,17785897000,97340000,1987
pike,107859440000,32157060000,9092227000,149108727000,5564007000,1553305000,515433000,7632745000,0,1987
portage,813757380000,121609930000,150788119000,1086155429000,56158858000,8251320000,10307427000,74717606000,1668608000,1987
preble,259094690000,28656060000,28637930000,316388680000,12130968000,1309155000,1398700000,14838824000,337453000,1987
putnam,220752450000,25902150000,22737157000,269391757000,9886700000,1184362000,969336000,12040398000,67738000,1987
richland,832319350000,112870250000,258237414000,1203427014000,48127882000,6669695000,14453019000,69250596000,797360000,1987
ross,392969000000,49695340000,129110020000,571774360000,20604568000,2589533000,6903289000,30097389000,17002000,1987
sandusky,417415710000,57908370000,136516508000,611840588000,20076434000,2834381000,6388924000,29299738000,427470000,1987
scioto,347461990000,77614460000,69363363000,494439813000,16562301000,3611864000,3022970000,23197135000,35210000,1987
seneca,379639610000,54032780000,101367493000,535039883000,17460504000,2496433000,4663971000,24620909000,247355000,1987
shelby,308629790000,49207630000,134720061000,492557481000,13832538000,2169899000,5927042000,21929479000,299137000,1987
stark,2544330040000,299197570000,628946673000,3472474283000,140781181000,16730871000,34070351000,191582403000,980524000,1987
summit,3921059390000,375509770000,734894025000,5031463185000,251429084000,24079949000,45862730000,321371763000,12685327000,1987
trumbull,1492205850000,194034150000,417584414000,2103824414000,82188185000,10461839000,22410979000,115061003000,1174897000,1987
tuscarawas,536439380000,75235000000,128522303000,740196683000,24926042000,3436434000,5957992000,34320468000,60206000,1987
union,272167180000,50051190000,159636510000,481854880000,13344718000,2329839000,7064680000,22739237000,83034000,1987
van wert,208555160000,24830160000,47463955000,280849275000,10134930000,1215360000,2259747000,13610037000,138474000,1987
vinton,57401770000,21663240000,20048665000,99113675000,2104460000,773682000,704594000,3582736000,0,1987
warren,785489070000,101685910000,108026616000,995201596000,44713197000,5835651000,6159759000,56708607000,1189756000,1987
washington,400939750000,89443170000,158875893000,649258813000,16760191000,3708015000,6323653000,26791859000,31671000,1987
wayne,759469760000,79541620000,162788259000,1001799639000,40883846000,4165152000,9130297000,54179295000,219967000,1987
williams,235919495000,41501030000,74327126000,351747651000,13087496000,2372009000,4046831000,19506335000,467887000,1987
wood,842969070000,113941190000,191085808000,1147996068000,47076180000,6224149000,10021688000,63322017000,2470116000,1987
wyandot,156124370000,18796060000,31107934000,206028364000,7183192000,864014000,1444072000,9491278000,62804000,1987
adams,148759220000,278224950000,20852381000,447836551000,4721803000,8190798000,663379000,13575980000,0,1988
allen,682994930000,112012790000,350619701000,1145627421000,30000726000,4947739000,15219745000,50168209000,0,1988
ashland,295874390000,74791520000,65029100000,435695010000,16323902000,3941719000,3663060000,23928681000,20026000,1988
ashtabula,601607520000,119947540000,122290891000,843845951000,34421249000,6784317000,6992285000,48197852000,1209329000,1988
athens,240933620000,62936650000,23402120000,327272390000,16098915000,4019001000,1588980000,21706896000,533233000,1988
auglaize,304283010000,35597610000,85860879000,425741499000,14480758000,1692946000,4019836000,20193540000,193381000,1988
belmont,405570710000,107730260000,59185176000,572486146000,19543366000,4959728000,2822689000,27325783000,27841000,1988
brown,183733500000,42949320000,14331047000,241013867000,7721547000,1750622000,621551000,10093721000,1364000,1988
butler,2169624510000,220397110000,469393206000,2859414826000,114671327000,11479747000,22951333000,149102407000,2818779000,1988
carroll,175360970000,44631380000,24433885000,244426235000,8263744000,2034033000,1206058000,11503835000,70092000,1988
champaign,218072150000,32691330000,50523750000,301287230000,11566636000,1728981000,2770804000,16066421000,47079000,1988
clark,809237500000,111849470000,164664658000,1085751628000,45468023000,6246290000,8979423000,60693737000,339830000,1988
clermont,1005923328000,207447740000,145048882000,1358419950000,64339908000,12507915000,8681145000,85528968000,368283000,1988
clinton,239764560000,31042200000,52225970000,323032730000,11770659000,1493670000,2557016000,15821345000,128929000,1988
columbiana,537829250000,105563280000,90368800000,733761330000,28066468000,5380340000,4828297000,38275106000,196373000,1988
coshocton,237842210000,164558860000,68780382000,471181452000,10915656000,6026074000,3149580000,20091311000,116261000,1988
crawford,297901500000,42525180000,92510692000,432937372000,17237293000,2451242000,5260171000,24948705000,76448000,1988
cuyahoga,13318802260000,1231736370000,2515766422000,17066305052000,1122150832000,99173748000,187457008000,1408781588000,20868314000,1988
darke,348062380000,31270880000,66195300000,445528560000,15550171000,1365017000,2976533000,19891721000,218729000,1988
defiance,261886560000,51632970000,70101900000,383621430000,13215034000,2660801000,3379780000,19255615000,294555000,1988
delaware,689163330000,85672860000,116358002000,891194192000,34901545000,4041489000,5846807000,44789840000,146412000,1988
erie,649158470000,87216590000,143653854000,880028914000,43786191000,5818553000,9457773000,59062517000,1654134000,1988
fairfield,699142540000,85026240000,84884951000,869053731000,44191655000,5122525000,5143657000,54457837000,153188000,1988
fayette,173319570000,28869990000,26024581000,228214141000,7612006000,1244722000,1147293000,10004021000,167768000,1988
franklin,9014383290000,685065010000,1605995827000,11305444127000,599173503000,44941898000,103196587000,747311988000,1087365000,1988
fulton,271705810000,54758260000,75301892000,401765962000,15714987000,3140917000,4304487000,23160390000,280073000,1988
gallia,176949160000,249943430000,22511900000,449404490000,5968617000,7963838000,790136000,14722591000,2144000,1988
geauga,851723070000,85846460000,76338280000,1013907810000,62997565000,6199286000,5497135000,74693986000,510396000,1988
greene,1007557340000,109732850000,95470938000,1212761128000,65095364000,6980134000,6083977000,78159475000,1819974000,1988
guernsey,227178320000,50032370000,63798321000,341009011000,11738543000,2518896000,3341913000,17599352000,95272000,1988
hamilton,7397481490000,826734450000,1916992140000,10141208080000,489611905000,53189339000,116388602000,659189847000,2526616000,1988
hancock,566292590000,73292820000,154984867000,794570277000,26836221000,3267111000,7103394000,37206726000,408169000,1988
hardin,184246360000,29651220000,30335847000,244233427000,8921766000,1401063000,1426264000,11749093000,NA,1988
harrison,106360570000,31806000000,22273770000,160440340000,5066249000,1496598000,1047311000,7610158000,51933000,1988
henry,207131270000,32562640000,51322941000,291016851000,10727519000,1798206000,2551858000,15077583000,323414000,1988
highland,189199940000,26135250000,27806396000,243141586000,8103008000,1139960000,1194151000,10437118000,35796000,1988
hocking,141335870000,46415600000,22070460000,209821930000,7028209000,2305405000,1084667000,10418281000,26180000,1988
holmes,215903260000,31405250000,36332740000,283641250000,10080449000,1496835000,1679772000,13257057000,1545000,1988
huron,372143510000,45471480000,104626767000,522241757000,21096668000,2551038000,5871817000,29519523000,227770000,1988
jackson,150281980000,38797220000,33001213000,222080413000,5704701000,1428017000,1262607000,8395325000,10450000,1988
jefferson,440339260000,341307680000,110309790000,891956730000,19923709000,14151547000,5186912000,39262167000,230828000,1988
knox,309960580000,49374080000,66192097000,425526757000,17128202000,2744568000,3535769000,23408538000,1202941000,1988
lake,2926043100000,303259320000,391090783000,3620393203000,208890845000,21006901000,27580131000,257477877000,6068846000,1988
lawrence,272074780000,79238920000,49028140000,400341840000,11046111000,3165250000,2016801000,16228162000,176507000,1988
licking,922862710000,126034270000,195641360000,1244538340000,49980826000,6706725000,9845807000,66533358000,469541000,1988
logan,298420640000,37230600000,65788660000,401439900000,15729427000,1961040000,3438581000,21129048000,745784000,1988
lorain,1874165980000,325493470000,371059021000,2570718471000,129284260000,22281931000,25733621000,177299812000,2207642000,1988
lucas,3626480730000,438635480000,814051894000,4879168104000,269353909000,31144491000,57818875000,358317274000,12858082000,1988
madison,232447780000,40100930000,26236989000,298785699000,11197682000,1828224000,1285871000,14311777000,189632000,1988
mahoning,1545584590000,216664810000,240513583000,2002762983000,103383695000,14401447000,16196087000,133981229000,941150000,1988
marion,411390520000,61287630000,103663934000,576342084000,20836956000,3110709000,5159997000,29107662000,467121000,1988
medina,1033539020000,124664060000,135001666000,1293204746000,73915356000,8700826000,9364565000,91980746000,2025525000,1988
meigs,127025260000,50254000000,28564874000,205844134000,4928768000,1923728000,1132427000,7984923000,0,1988
mercer,297692560000,22607390000,53546160000,373846110000,12656770000,957856000,2275877000,15890502000,337495000,1988
miami,651373750000,77675870000,181754512000,910804132000,37209491000,4389876000,10460755000,52060122000,593030000,1988
monroe,97076280000,32890690000,81702710000,211669680000,4281200000,1445683000,3543095000,9269978000,2131000,1988
montgomery,4238492990000,430596920000,969216216000,5638306126000,292334096000,29721759000,65306689000,387362544000,6592069000,1988
morgan,93968270000,75718300000,22252250000,191938820000,3681780000,3147635000,849552000,7678967000,0,1988
morrow,166763890000,26552920000,18660711000,211977521000,8760591000,1389409000,1022429000,11172428000,11762000,1988
muskingum,500157850000,86866910000,89204007000,676228767000,27759267000,4783499000,4939448000,37482214000,467705000,1988
noble,70518810000,21918420000,27041644000,119478874000,2968608000,916953000,1119623000,5005185000,9834000,1988
ottawa,455659630000,268771090000,191337424000,915768144000,25746212000,11080891000,8528616000,45355719000,267284000,1988
paulding,136809380000,20121750000,20414832000,177345962000,7769893000,1125288000,1168831000,10064012000,210799000,1988
perry,145266140000,30418850000,16716177000,192401167000,7857967000,1637430000,924584000,10419981000,6688000,1988
pickaway,285824780000,52829970000,97757541000,436412291000,12980288000,2336134000,4378616000,19695038000,105997000,1988
pike,109325400000,37846530000,15433582000,162605512000,5975604000,1926296000,956548000,8858448000,0,1988
portage,914496090000,128368000000,147251322000,1190115412000,63949713000,8817782000,10303055000,83070550000,1720503000,1988
preble,263726560000,30714180000,31672430000,326113170000,12445109000,1411843000,1555007000,15411959000,349464000,1988
putnam,225686340000,27415360000,32056557000,285158257000,10832208000,1339290000,1409917000,13581415000,88778000,1988
richland,829965830000,118072450000,268275073000,1216313353000,49440425000,7199124000,15374998000,72014547000,836857000,1988
ross,398857220000,51294480000,124046430000,574198130000,21210006000,2716415000,6712119000,30638540000,21802000,1988
sandusky,404522900000,66212920000,138993623000,609729443000,20039497000,3333922000,6704702000,30078121000,402612000,1988
scioto,352219760000,82222430000,68712176000,503154366000,17956162000,4030825000,3330082000,25317069000,44491000,1988
seneca,379770270000,56535020000,97610079000,533915369000,18879989000,2772956000,4832264000,26485208000,239646000,1988
shelby,310863090000,52490020000,138536395000,501889505000,14086978000,2331392000,6129258000,22547627000,287166000,1988
stark,2656166180000,316321570000,662303072000,3634790822000,150725629000,18024353000,36713264000,205463246000,1075428000,1988
summit,4026019330000,402951410000,802254263000,5231225003000,275685559000,27662477000,53885510000,357233547000,12665011000,1988
trumbull,1500273600000,206526155000,454353033000,2161152788000,85614349000,11612952000,25134915000,122362217000,1165095000,1988
tuscarawas,543477190000,78413380000,140518166000,762408736000,27143286000,3805108000,7016419000,37964813000,138944000,1988
union,279647380000,51347310000,153016242000,484010932000,13875399000,2411165000,6857852000,23144417000,87229000,1988
van wert,211853580000,25799450000,43926389000,281579419000,11233964000,1387092000,2310068000,14931124000,138886000,1988
vinton,57861470000,22492110000,20946637000,101300217000,2247631000,856345000,779254000,3883230000,0,1988
warren,932760340000,111948000000,128172694000,1172881034000,54812562000,6621078000,7535718000,68969358000,1229567000,1988
washington,398270470000,89983920000,161113249000,649367639000,16697683000,3746127000,6459721000,26903531000,38212000,1988
wayne,777935780000,78787430000,176322728000,1033045938000,43413528000,4338982000,10008369000,57760879000,267489000,1988
williams,239237660000,45015150000,81061582000,365314392000,14012869000,2692267000,4691655000,21396791000,400693000,1988
wood,865580880000,118183090000,199665025000,1183428995000,53551274000,7019070000,11742045000,72312390000,3146998000,1988
wyandot,157402300000,19790480000,31307666000,208500446000,7587582000,945812000,1533928000,10067323000,51075000,1988
