year,county,school_district,sd_number,political_unit,info_number,total_rate_gross,total_rate_class1,total_rate_class2,emergency_rate,current_expense_rate_gross,current_expense_rate_class1,current_expense_rate_class2,bond_rate,general_fund_millage,recreation_rate_gross,recreation_rate_class1,recreation_rate_class2,improvement_rate_gross,improvement_rate_class1,improvement_rate_class2,library_millage,library_rate_gross,library_rate_class1,library_rate_class2,acquisition_rate,mill_floor_rate_class1,mill_floor_rate_class2,sub_levy_rate,library_rate_millage,safety_rate_gross,safety_rate_class1,safety_rate_class2,credit_qualify_rate_class1,qualifying_nonbusiness_class1
1994,columbiana,east palestine csd,NA,NA,NA,32.6,27.3,27.30002,2.4,21.2,15.9,15.90002,4.9,4.1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,columbiana,leetonia evsd,NA,NA,NA,44.6,36.66436,33.34759,11.5,28.5,20.56436,17.24759,0,4.6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,columbiana,lisbon evsd,NA,NA,NA,36.6,27.900009999999998,27.9,0,26.1,17.400009999999998,17.4,7.9,2.6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,columbiana,salem csd,NA,NA,NA,48.4,33.83292,29.843339999999998,6.4,33.8,19.471850000000003,15.80001,2,4.2,0,0,0,2,1.76107,1.4433199999999997,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,columbiana,southern lsd (columbiana co.),NA,NA,NA,45.9,34.43785999999999,36.164320000000004,0,37.6,26.642319999999998,28.17357,0,4.4,0,0,0,3.9,3.3955399999999996,3.59074,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,columbiana,united lsd,NA,NA,NA,30.6,23.466369999999998,22.50748,0,23.3,16.70001,16.70001,0.5,3.3,0,0,0,3.5,2.96635,2.00746,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,columbiana,wellsville csd,NA,NA,NA,35.5,24.29602,26.6446,0,28.9,17.69602,20.0475,0,4.6,0,0,0,2,2,1.9970999999999999,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,coshocton,coshocton csd,NA,NA,NA,45.449999999999996,29.07173,32.26035000000001,0,38.849999999999994,22.82758,25.879170000000002,0,4.6,0,0,0,2,1.6441500000000002,1.78118,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,coshocton,ridgewood lsd,NA,NA,NA,40.6,29.600880000000004,29.59957,0,34.4,23.618810000000003,23.550900000000002,0,4.7,0,0,0,1.5,1.28207,1.34866,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,coshocton,river view lsd,NA,NA,NA,29.5,23.97648,24.777860000000004,0,25.2,19.67648,20.477860000000003,0,4.3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,crawford,buckeye central lsd,NA,NA,NA,46.3,27.89235,29.20117,0,40.8,22.39235,23.70117,1.3,4.2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,crawford,bucyrus csd,NA,NA,NA,53.82,36.35021999999999,39.98269,14.219999999999999,36.1,18.63022,22.262689999999996,0,3.5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,crawford,colonel crawford lsd,NA,NA,NA,50.91,35.37952,38.85727999999999,4.91,41,25.469519999999996,28.94728,0,5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,crawford,crestline evsd,NA,NA,NA,55.5,33.12601000000001,39.182900000000004,0,48.1,26.07316,31.84173,0.6,3.8,0,0,0,3,2.6528399999999994,2.94117,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,crawford,galion csd,NA,NA,NA,53.9,33.88249,38.01454,0,50,29.982489999999995,34.11454,0,3.9,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,crawford,wynford lsd,NA,NA,NA,54.78,38.58249,36.94516,12.68,36.5,20.30249,18.66516,0,5.6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,cuyahoga,bay village csd,NA,NA,NA,83.6,35.40959,43.048930000000006,0,77.3,29.10959,36.74893000000001,1.6900000000000002,4.609999999999999,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,cuyahoga,beachwood csd,NA,NA,NA,65.3,26.480299999999996,36.83042,0,58.6,19.780299999999997,30.13042,1.5,5.2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,cuyahoga,bedford csd,NA,NA,NA,53.1,28.049539999999997,35.19951000000001,0,45.9,21.051080000000002,28.144150000000003,1.58,4.619999999999999,0,0,0,1,0.7984699999999999,0.85536,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,cuyahoga,berea csd,NA,NA,NA,56.9,28.594800000000003,37.456979999999994,0,51.1,23.43703,32.0885,0.8500000000000001,4.05,0,0,0,0.9,0.25777,0.46848000000000006,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
