county,res_ag_gross_millage,res_ag_net_millage,public_gross_millage,public_net_millage,tangible_millage,year
tuscarawas,51.36,39.7,52.05,43.83,51.77,1990
union,54.6,47.65,52.15,45.23,50.97,1990
van wert,53.4,46.32,53.64,44.77,53.62,1990
vinton,39.01,37.28,39.05,37.57,37.77,1990
warren,59.13,40.26,58.39,40.34,59.32,1990
washington,44.27,36.32,44.04,38.1,43.65,1990
wayne,57.98,43.62,61.04,47.29,59.71,1990
williams,63.28,46.59,63.93,48.22,63.47,1990
wood,65.88,51.4,64.47,53.19,62.51,1990
wyandot,49.08,38.88,49.59,36.96,49.25,1990
adams,38.4,37.83,35.75,34.28,34.72,1991
allen,50.06,44.46,49.03,43.98,49.18,1991
ashland,56.73,43.42,57.63,45.06,56.96,1991
ashtabula,61.64,46.94,62.47,48.15,61.49,1991
athens,74.36,51.37,78.43,53.97,71.91,1991
auglaize,50.14,42.29,49.41,42.84,49.64,1991
belmont,50.69,41.17,49.36,41.45,49.56,1991
brown,48.15,42.51,46.62,43.28,49.12,1991
butler,55.77,39.88,55.51,40.6,53.07,1991
carroll,48.07,36.56,50.06,36.19,47.92,1991
champaign,52.96,40.3,56.85,41.89,53.21,1991
clark,58.52,41.9,58.31,43.8,58,1991
clermont,65.15,43.26,64.17,43.79,60.55,1991
clinton,49.3,43.1,49.59,43.34,48.28,1991
columbiana,56.42,46.37,58.84,46.2,57.13,1991
coshocton,47.92,40.5,48.35,41.2,41.11,1991
crawford,62.22,46.96,61.72,45.14,60.71,1991
cuyahoga,90.91,60.7,82.75,65.9,79.74,1991
darke,46.18,39.73,47.46,38.62,46.75,1991
defiance,50.89,43.5,49.74,41.63,49.83,1991
delaware,56.74,45.2,54.27,41.78,54.47,1991
erie,70.06,47.54,70.19,49.66,68.88,1991
fairfield,68.62,43.36,69.56,43.16,66.7,1991
fayette,46.12,40.66,49.25,38.66,46.24,1991
franklin,69.8,47.49,65.25,45.87,65.33,1991
fulton,60.7,47.03,59.16,43.52,59.63,1991
gallia,39.05,35.45,38.15,35.35,36.16,1991
geauga,80.87,50.56,80.62,55.39,78.61,1991
greene,65.75,42.52,64.19,41.98,63.89,1991
guernsey,51.45,43.65,53.06,46.84,51.66,1991
hamilton,71.6,47.6,68.23,50.76,65.69,1991
hancock,51.37,41.54,52.98,43.75,51.82,1991
hardin,NA,NA,NA,NA,NA,1991
harrison,50.07,39.24,50.22,40.59,50.05,1991
henry,57.65,51.77,57.25,50.18,57.9,1991
highland,43.18,37.61,43.18,35.83,43.77,1991
hocking,56.39,44.61,55.89,43.04,56.15,1991
holmes,50.39,43.9,51.6,44.46,50.89,1991
huron,57.27,40.31,58.48,43.04,57.29,1991
jackson,37.55,34.63,38.12,35.08,37.29,1991
jefferson,45.87,34.6,44.84,39.91,43.23,1991
knox,55.43,45.4,53.66,45.72,55.16,1991
lake,77.37,49.59,74.33,49.01,72.3,1991
lawrence,39.86,36.61,40.65,36.95,39.62,1991
licking,55.64,41.39,52.82,42.36,52.4,1991
logan,52.88,38.99,53.22,39.83,51.72,1991
