year,county,real_property_value,public_utility_property_value,tangible_property_value,total_property_value,real_property_tax,public_utility_property_tax,tangible_property_tax,total_property_tax,special_assessments,residential_taxable_value,agricultural_taxable_value,industrial_taxable_value,commercial_taxable_value,mineral_taxable_value,total_taxable_value,parcels,acres_cauv,cauv_taxable,market_value_taxable,appraisal,res_ag_gross_millage,res_ag_net_millage,public_gross_millage,public_net_millage,tangible_millage,tangible_property_delinquent,real_property_delinquent,special_delinquent,total_delinquent,update_year,noncauv_taxable,cauv_tax,cauv_tax_acre,noncauv_tax,noncauv_tax_acre
1985,monroe,NA,NA,NA,NA,NA,NA,NA,NA,NA,36928330,26756280,21179460,5842030,5098000,95804100,2537,107538,4880050,13940510,NA,44.3,32.95,43.6,37.61,42.52,NA,NA,NA,NA,2016,21876230,160797.6475,1.4952635115029105,720821.7785,6.702949455076345
1985,montgomery,NA,NA,NA,NA,NA,NA,NA,NA,NA,2671098920,71734250,271203730,892947080,0,3906983980,2849,122386,26232810,74949310,NA,66.45,49.48,64.77,50.79,60.45,NA,NA,NA,NA,2017,45501440,1297999.4388,10.605783658261565,2251411.2512,18.39598688738908
1985,morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,28493330,36957070,4761020,5297540,4237590,79746550,3025,105234,6144190,17568470,update,38.65,32.41,38.12,30.12,35.61,NA,NA,NA,NA,2018,30812880,199133.19789999997,1.892289544253758,998645.4407999999,9.489760351217287
1985,morrow,NA,NA,NA,NA,NA,NA,NA,NA,NA,94422120,57842640,3806160,10427430,1513870,168012220,2917,211919,29794000,85125720,NA,52.22,44.1,54.66,43.49,49.97,NA,NA,NA,NA,2017,28048640,1313915.4,6.200083050599521,1236945.024,5.8368764669519955
1985,muskingum,NA,NA,NA,NA,NA,NA,NA,NA,NA,259439520,57281810,17662850,73002500,12119430,419506110,3773,164714,14619410,41766140,update,52.97,37.99,53.97,40.36,49.25,NA,NA,NA,NA,2018,42662400,555391.3859,3.3718529444977356,1620744.5760000001,9.839749966608789
1985,noble,NA,NA,NA,NA,NA,NA,NA,NA,NA,26866020,30311690,2534030,5528620,4635340,69875700,1516,66812,4576280,13074920,NA,42.68,39.3,43.24,40,40.39,NA,NA,NA,NA,2017,25735410,179847.80399999997,2.691848829551577,1011401.6129999999,15.13802330419685
1985,ottawa,NA,NA,NA,NA,NA,NA,NA,NA,NA,209680160,55181580,12770730,55732910,28140,333393520,2730,115430,26356860,75304060,update,56.69,36.98,53.69,37.71,46.6,NA,NA,NA,NA,2018,28824720,974676.6828,8.443876659447284,1065938.1456,9.234498359178723
1985,paulding,NA,NA,NA,NA,NA,NA,NA,NA,NA,60259190,59937940,5874540,10194890,0,136266560,3503,246624,44349440,126710090,NA,54.32,47.16,57.91,49.02,51.02,NA,NA,NA,NA,2016,15588500,2091519.5903999996,8.48060038925652,735153.6599999999,2.980868285325029
1985,perry,NA,NA,NA,NA,NA,NA,NA,NA,NA,75560190,35504710,5418380,14146530,5974710,136604520,NA,NA,NA,NA,NA,53.87,43.12,55.18,44.63,49.29,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA
1985,pickaway,NA,NA,NA,NA,NA,NA,NA,NA,NA,134816430,81261300,19323780,26668470,0,262069980,5335,288661,60271440,172199790,NA,42.58,35.15,42.8,35.65,40,NA,NA,NA,NA,2017,20989860,2118541.116,7.339201055909873,737793.579,2.5559170757393623
