year,id,soil_series,texture,slope,erosion,drainage,indx,Projection Expected,Projection Low,Projection High
2021,"AETNA,OF-PHSIL0-2SSWP","AETNA,OF-PH",SIL,0-2,S,SWP,indx_79,1620,1150,1890
2021,ALEXANDRIASICL12-18MW,ALEXANDRIA,SICL,12-18,M,W,indx_59,350,350,350
2021,ALEXANDRIASICL12-18SEW,ALEXANDRIA,SICL,12-18,SE,W,indx_49,350,350,350
2021,ALEXANDRIASICL18-25SEW,ALEXANDRIA,SICL,18-25,SE,W,indx_49,350,350,350
2021,ALEXANDRIASICL6-12SEW,ALEXANDRIA,SICL,6-12,SE,W,indx_59,350,350,350
2021,ALEXANDRIASIL0-2SW,ALEXANDRIA,SIL,0-2,S,W,indx_79,830,420,1060
2021,ALEXANDRIASIL12-18MW,ALEXANDRIA,SIL,12-18,M,W,indx_69,350,350,350
2021,ALEXANDRIASIL12-18SW,ALEXANDRIA,SIL,12-18,S,W,indx_69,350,350,350
2021,ALEXANDRIASIL12-20MW,ALEXANDRIA,SIL,12-20,M,W,indx_69,350,350,350
2021,ALEXANDRIASIL18-25MW,ALEXANDRIA,SIL,18-25,M,W,indx_59,350,350,350
2021,ALEXANDRIASIL18-25SW,ALEXANDRIA,SIL,18-25,S,W,indx_59,350,350,350
2021,ALEXANDRIASIL2-6MW,ALEXANDRIA,SIL,2-6,M,W,indx_69,490,350,710
2021,ALEXANDRIASIL2-6SW,ALEXANDRIA,SIL,2-6,S,W,indx_79,670,350,900
2021,ALEXANDRIASIL6-12MW,ALEXANDRIA,SIL,6-12,M,W,indx_69,350,350,510
2021,ALEXANDRIASIL6-12SW,ALEXANDRIA,SIL,6-12,S,W,indx_69,490,350,710
2021,ALEXANDRIASIL6-18SW,ALEXANDRIA,SIL,6-18,S,W,indx_69,350,350,500
2021,"ALFORD,T-SUBSTSIL1-4SW","ALFORD,T-SUBST",SIL,1-4,S,W,indx_79,2000,1510,2280
2021,ALFORDSIL0-2SW,ALFORD,SIL,0-2,S,W,indx_89,2250,1750,2550
2021,ALFORDSIL1-8SW,ALFORD,SIL,1-8,S,W,indx_79,2000,1510,2280
2021,ALFORDSIL10-25SW,ALFORD,SIL,10-25,S,W,indx_59,350,350,350
2021,ALFORDSIL15-25SW,ALFORD,SIL,15-25,S,W,indx_49,350,350,350
2021,ALFORDSIL2-6SW,ALFORD,SIL,2-6,S,W,indx_79,2000,1510,2280
2021,ALFORDSIL2-8SW,ALFORD,SIL,2-8,S,W,indx_79,2000,1510,2280
2021,ALFORDSIL6-12MW,ALFORD,SIL,6-12,M,W,indx_69,1280,840,1530
2021,ALFORDSIL6-12SW,ALFORD,SIL,6-12,S,W,indx_79,1730,1270,2010
2021,ALFORDSIL6-15MW,ALFORD,SIL,6-15,M,W,indx_69,1150,720,1400
2021,ALFORDSIL8-15MW,ALFORD,SIL,8-15,M,W,indx_69,900,500,1140
2021,ALFORDSIL8-15SW,ALFORD,SIL,8-15,S,W,indx_69,1070,660,1320
2021,"ALGANSEE,OF-PHFS0-2SSWP","ALGANSEE,OF-PH",FS,0-2,S,SWP,indx_79,1800,1320,2080
2021,"ALGIERS,FF-PHSIL0-2SSWP","ALGIERS,FF-PH",SIL,0-2,S,SWP,indx_69,980,540,1210
2021,"ALGIERS,OF-PHSIL0-2SSWP","ALGIERS,OF-PH",SIL,0-2,S,SWP,indx_79,1620,1150,1890
2021,ALGIERSSICL0-2SSWP,ALGIERS,SICL,0-2,S,SWP,indx_79,1600,1130,1860
2021,ALGIERSSIL0-2SSWP,ALGIERS,SIL,0-2,S,SWP,indx_79,1620,1150,1890
