year,cauv_projected_exp,soil_series,texture,slope,erosion,drainage,indx,id
2020,350,BETHESDA,SHV-CL,3-15,S,W,indx_49,BETHESDASHV-CL3-15SW
2020,350,BETHESDA,SHV-CL,8-25,S,W,indx_49,BETHESDASHV-CL8-25SW
2020,350,BETHESDA,SHV-SIC,0-8,S,W,indx_49,BETHESDASHV-SIC0-8SW
2020,350,BETHESDA,SICL,0-8,S,W,indx_49,BETHESDASICL0-8SW
2020,350,BETHESDA,SICL,15-25,S,W,indx_49,BETHESDASICL15-25SW
2020,350,BETHESDA,SICL,2-12,S,W,indx_49,BETHESDASICL2-12SW
2020,350,BETHESDA,SICL,8-20,S,W,indx_49,BETHESDASICL8-20SW
2020,350,BETHESDA,SIL,0-8,S,W,indx_49,BETHESDASIL0-8SW
2020,350,BETHESDA,SIL,8-20,S,W,indx_49,BETHESDASIL8-20SW
2020,350,BETHESDA,SIL,8-25,S,W,indx_49,BETHESDASIL8-25SW
2020,350,"BIGLICK-MILTON,C",,0-2,S,W,indx_59,"BIGLICK-MILTON,C0-2SW"
2020,350,"BIGLICK-MILTON,C",,2-6,S,W,indx_59,"BIGLICK-MILTON,C2-6SW"
2020,1500,BIRKBECK,SIL,0-2,S,MW,indx_89,BIRKBECKSIL0-2SMW
2020,1340,BIRKBECK,SIL,1-4,S,MW,indx_89,BIRKBECKSIL1-4SMW
2020,990,BIRKBECK,SIL,2-6,M,MW,indx_79,BIRKBECKSIL2-6MMW
2020,1240,BIRKBECK,SIL,2-6,S,MW,indx_79,BIRKBECKSIL2-6SMW
2020,460,"BIXLER,C-SUBST",LS,0-2,S,SWP,indx_69,"BIXLER,C-SUBSTLS0-2SSWP"
2020,610,BIXLER,LFS,0-2,S,SWP,indx_69,BIXLERLFS0-2SSWP
2020,610,BIXLER,LFS,0-3,S,SWP,indx_69,BIXLERLFS0-3SSWP
2020,430,BIXLER,LFS,2-6,S,SWP,indx_69,BIXLERLFS2-6SSWP
2020,350,"BLAIRTON-RARDEN-GILPIN,AS",,5-20,S,MW,indx_59,"BLAIRTON-RARDEN-GILPIN,AS5-20SMW"
2020,730,BLAKESLEE,SIL,0-2,S,MW,indx_79,BLAKESLEESIL0-2SMW
2020,630,BLAKESLEE,SIL,2-6,S,MW,indx_69,BLAKESLEESIL2-6SMW
2020,350,BLAKESLEE,SIL,6-12,S,MW,indx_69,BLAKESLEESIL6-12SMW
2020,1090,BLANCHESTER,SICL,0-1,S,VP,indx_79,BLANCHESTERSICL0-1SVP
2020,1090,BLANCHESTER,SIL,0-1,S,VP,indx_79,BLANCHESTERSIL0-1SVP
2020,1190,BLANCHESTER,SIL,0-2,S,VP,indx_79,BLANCHESTERSIL0-2SVP
2020,680,BLOUNT-DEL REY,SIL,1-6,S,SWP,indx_69,BLOUNT-DEL REYSIL1-6SSWP
2020,1220,"BLOUNT-HOUCKTOWN,C",,0-3,S,SWP,indx_79,"BLOUNT-HOUCKTOWN,C0-3SSWP"
2020,1130,"BLOUNT-JENERA,C",,0-3,S,SWP,indx_79,"BLOUNT-JENERA,C0-3SSWP"
2020,1200,BLOUNT,L,0-2,S,SWP,indx_79,BLOUNTL0-2SSWP
2020,1200,BLOUNT,L,0-3,S,SWP,indx_79,BLOUNTL0-3SSWP
2020,710,BLOUNT,L,2-6,M,SWP,indx_79,BLOUNTL2-6MSWP
2020,950,BLOUNT,L,2-6,S,SWP,indx_79,BLOUNTL2-6SSWP
2020,1200,"BLOUNT,LM-SUBST",SIL,0-3,S,SWP,indx_79,"BLOUNT,LM-SUBSTSIL0-3SSWP"
2020,1200,"BLOUNT,L-SUBST",L,0-2,S,SWP,indx_79,"BLOUNT,L-SUBSTL0-2SSWP"
2020,950,"BLOUNT,L-SUBST",L,2-6,S,SWP,indx_79,"BLOUNT,L-SUBSTL2-6SSWP"
2020,350,"BLOUNT-RIMER,C.",,2-6,S,SWP,indx_69,"BLOUNT-RIMER,C.2-6SSWP"
2020,1200,BLOUNT,SIL,0-2,S,SWP,indx_79,BLOUNTSIL0-2SSWP
2020,1110,BLOUNT,SIL,0-4,S,SWP,indx_79,BLOUNTSIL0-4SSWP
2020,960,BLOUNT,SIL,2-4,S,SWP,indx_79,BLOUNTSIL2-4SSWP
2020,710,BLOUNT,SIL,2-6,M,SWP,indx_79,BLOUNTSIL2-6MSWP
2020,950,BLOUNT,SIL,2-6,S,SWP,indx_79,BLOUNTSIL2-6SSWP
2020,620,BOGART,GR-L,0-2,S,MW,indx_79,BOGARTGR-L0-2SMW
2020,440,BOGART,GR-L,2-6,S,MW,indx_69,BOGARTGR-L2-6SMW
2020,520,"BOGART-HASKINS,C",,2-6,S,MW,indx_69,"BOGART-HASKINS,C2-6SMW"
2020,520,BOGART-HASKINS,L,2-6,S,MW,indx_69,BOGART-HASKINSL2-6SMW
2020,730,BOGART,L,0-2,S,MW,indx_79,BOGARTL0-2SMW
2020,570,BOGART,L,2-5,S,MW,indx_69,BOGARTL2-5SMW
2020,570,BOGART,L,2-6,S,MW,indx_69,BOGARTL2-6SMW
2020,350,BOGART,L,6-12,M,MW,indx_69,BOGARTL6-12MMW
2020,730,BOGART,SIL,0-2,S,MW,indx_79,BOGARTSIL0-2SMW
2020,600,BOGART,SIL,2-5,S,MW,indx_79,BOGARTSIL2-5SMW
2020,600,BOGART,SIL,2-6,S,MW,indx_79,BOGARTSIL2-6SMW
2020,350,BOGART,SIL,6-12,S,MW,indx_69,BOGARTSIL6-12SMW
2020,620,BOGART,SL,0-2,S,MW,indx_79,BOGARTSL0-2SMW
2020,350,BOGART,SOILS,5-10,M,MW,indx_69,BOGARTSOILS5-10MMW
2020,350,BOGART,SOILS,5-10,S,MW,indx_69,BOGARTSOILS5-10SMW
2020,570,"BOGART,T-SUBST",L,2-6,S,MW,indx_79,"BOGART,T-SUBSTL2-6SMW"
2020,350,"BOGART,T-SUBST",L,6-12,S,MW,indx_69,"BOGART,T-SUBSTL6-12SMW"
2020,860,"BOGART,V",L,0-3,S,MW,indx_79,"BOGART,VL0-3SMW"
2020,550,"BOGART,V",L,3-8,S,MW,indx_79,"BOGART,VL3-8SMW"
