year,cauv_projected_high,soil_series,texture,slope,erosion,drainage,indx,id,val_2018,unadjusted
2019,2290,BLANCHESTER,SIL,0-1,S,VP,indx_79,BLANCHESTERSIL0-1SVP,1850,2290
2019,2420,BLANCHESTER,SIL,0-2,S,VP,indx_79,BLANCHESTERSIL0-2SVP,2010,2420
2019,1840,BLOUNT-DEL REY,SIL,1-6,S,SWP,indx_69,BLOUNT-DEL REYSIL1-6SSWP,1420,1840
2019,2520,"BLOUNT-HOUCKTOWN,C",,0-3,S,SWP,indx_79,"BLOUNT-HOUCKTOWN,C0-3SSWP",2050,2520
2019,2340,"BLOUNT-JENERA,C",,0-3,S,SWP,indx_79,"BLOUNT-JENERA,C0-3SSWP",1920,2340
2019,2420,BLOUNT,L,0-2,S,SWP,indx_79,BLOUNTL0-2SSWP,2020,2420
2019,2420,BLOUNT,L,0-3,S,SWP,indx_79,BLOUNTL0-3SSWP,2020,2420
2019,1880,BLOUNT,L,2-6,M,SWP,indx_79,BLOUNTL2-6MSWP,1460,1880
2019,2110,BLOUNT,L,2-6,S,SWP,indx_79,BLOUNTL2-6SSWP,1710,2110
2019,2420,"BLOUNT,LM-SUBST",SIL,0-3,S,SWP,indx_79,"BLOUNT,LM-SUBSTSIL0-3SSWP",2020,2420
2019,2420,"BLOUNT,L-SUBST",L,0-2,S,SWP,indx_79,"BLOUNT,L-SUBSTL0-2SSWP",2020,2420
