id,soil_series,texture,slope,erosion,drainage,indx,CAUV 2018,Projected Expected 2019,Projected Low 2019,Projected High 2019
MIAMI-HENNEPINSOILS18-25SEW,MIAMI-HENNEPIN,SOILS,18-25,SE,W,indx_49,350,350,350,350
MIAMI-KENDALLVILLESIL18-25MW,MIAMI-KENDALLVILLE,SIL,18-25,M,W,indx_49,350,350,350,350
MIAMIL12-18MW,MIAMI,L,12-18,M,W,indx_69,730,570,540,1100
MIAMIL6-12MW,MIAMI,L,6-12,M,W,indx_79,1210,1015,805,1570
MIAMISICL12-18SEW,MIAMI,SICL,12-18,SE,W,indx_59,350,350,350,350
MIAMISICL6-12SEW,MIAMI,SICL,6-12,SE,W,indx_69,570,460,460,950
MIAMISIL0-2SW,MIAMI,SIL,0-2,S,W,indx_79,1980,1730,1505,2340
MIAMISIL12-18MW,MIAMI,SIL,12-18,M,W,indx_69,730,570,540,1100
MIAMISIL12-18SW,MIAMI,SIL,12-18,S,W,indx_69,1030,850,690,1400
MIAMISIL18-25MW,MIAMI,SIL,18-25,M,W,indx_49,350,350,350,350
MIAMISIL18-25SW,MIAMI,SIL,18-25,S,W,indx_59,350,350,350,350
MIAMISIL2-6MW,MIAMI,SIL,2-6,M,W,indx_79,1510,1290,1075,1860
MIAMISIL2-6SW,MIAMI,SIL,2-6,S,W,indx_79,1700,1460,1240,2040
MIAMISIL6-12MW,MIAMI,SIL,6-12,M,W,indx_79,1210,1015,805,1570
MIAMISIL6-12SW,MIAMI,SIL,6-12,S,W,indx_79,1510,1290,1075,1860
MIAMISOILS12-18SEW,MIAMI,SOILS,12-18,SE,W,indx_49,350,350,350,350
MIAMISOILS18-25SEW,MIAMI,SOILS,18-25,SE,W,indx_59,350,350,350,350
MIAMISOILS2-6SEW,MIAMI,SOILS,2-6,SE,W,indx_69,950,780,650,1320
MIAMISOILS6-12SEW,MIAMI,SOILS,6-12,SE,W,indx_59,720,560,535,1090
"MILFORD,GR-SUBSTSICL0-2SVP","MILFORD,GR-SUBST",SICL,0-2,S,VP,indx_89,3090,2775,2530,3470
MILFORDSIC0-2SVP,MILFORD,SIC,0-2,S,VP,indx_89,2430,2135,1905,2760
