soil_series,texture,slope,erosion,drainage,year,cropland,woodland,indx,id,soil_region,corn_base,soy_base,wheat_base,oats_base,hay_base,prod_index,prod_index_new,indx_new
"ARKPORT,V.",LFS,0-2,S,W,2009,220,100,indx_69,"ARKPORT,V.LFS0-2SW",2,100,28,42,68,3.8,65,65,indx_69
"ARKPORT,V.",LFS,2-6,S,W,2009,210,100,indx_69,"ARKPORT,V.LFS2-6SW",2,95,25,40,65,3.8,63,61,indx_69
ASHTON,SIL,0-2,S,W,2009,740,240,indx_89,ASHTONSIL0-2SW,2,130,34,46,74,5,81,81,indx_89
ASHTON,SIL,0-3,S,W,2009,740,240,indx_89,ASHTONSIL0-3SW,2,130,34,46,74,5,81,81,indx_89
ASHTON,SIL,2-6,S,W,2009,730,350,indx_79,ASHTONSIL2-6SW,2,125,33,44,71,4.8,78,77,indx_79
"ASHTON,OF-PH",SIL,0-2,S,W,2009,740,240,indx_89,"ASHTON,OF-PHSIL0-2SW",2,130,34,46,74,5,81,81,indx_89
ATHERTON,SIL,0-2,S,VP,2009,390,100,indx_69,ATHERTONSIL0-2SVP,2,90,38,30,0,3.6,60,61,indx_69
ATLAS,SICL,6-12,M,SWP,2009,260,100,indx_59,ATLASSICL6-12MSWP,2,91,28,38,57,3.4,59,60,indx_69
ATLAS,SIL,2-6,M,SWP,2009,410,100,indx_69,ATLASSIL2-6MSWP,2,98,31,40,62,3.7,63,65,indx_69
ATLAS,SIL,2-6,S,SWP,2009,520,100,indx_69,ATLASSIL2-6SSWP,2,102,32,42,64,3.8,66,68,indx_69
ATLAS,SIL,6-12,M,SWP,2009,320,100,indx_69,ATLASSIL6-12MSWP,2,94,29,39,59,3.5,60,62,indx_69
ATLAS,SIL,6-12,SE,SWP,2009,180,100,indx_49,ATLASSIL6-12SESWP,3,50,15,16,36,1.8,31,31,indx_49
AURAND,FSL,0-2,S,SWP,2009,1240,240,indx_99,AURANDFSL0-2SSWP,2,141,44,51,85,5.7,92,91,indx_99
AURAND,L,0-2,S,SWP,2009,1300,300,indx_99,AURANDL0-2SSWP,2,144,45,52,87,5.8,94,93,indx_99
AURAND,L,0-3,S,SWP,2009,1300,300,indx_99,AURANDL0-3SSWP,2,144,45,52,87,5.8,94,93,indx_99
AURAND,SIL,0-3,S,SWP,2009,1300,300,indx_99,AURANDSIL0-3SSWP,2,144,45,52,87,5.8,94,93,indx_99
AVA,SIL,0-3,S,MW,2009,750,250,indx_79,AVASIL0-3SMW,2,110,40,45,76,4.5,75,75,indx_79
AVA,SIL,3-8,M,MW,2009,600,100,indx_69,AVASIL3-8MMW,2,100,36,40,70,4,68,68,indx_69
AVA,SIL,8-15,M,MW,2009,410,100,indx_69,AVASIL8-15MMW,2,93,34,38,64,3.8,64,64,indx_69
AVERY,SIL,2-6,S,MW,2009,900,400,indx_79,AVERYSIL2-6SMW,2,110,38,53,80,4.6,78,77,indx_79
AVONBURG,SIL,0-2,S,SWP,2009,590,100,indx_79,AVONBURGSIL0-2SSWP,2,110,36,46,68,4,70,74,indx_79
AVONBURG,SIL,2-6,M,SWP,2009,540,100,indx_69,AVONBURGSIL2-6MSWP,2,102,33,43,63,3.7,65,68,indx_69
AVONBURG,SIL,2-6,S,SWP,2009,580,100,indx_69,AVONBURGSIL2-6SSWP,2,106,35,44,65,3.8,67,71,indx_79
"AVONBURG-ATLAS,C.",,2-6,M,SWP,2009,540,100,indx_69,"AVONBURG-ATLAS,C.2-6MSWP",2,102,33,43,63,3.7,65,68,indx_69
BARKCAMP,CL,0-8,S,W,2009,200,100,indx_59,BARKCAMPCL0-8SW,3,0,0,0,0,3,50,0,indx_49
BARKCAMP,CL,8-25,S,W,2009,170,100,indx_49,BARKCAMPCL8-25SW,3,0,0,0,0,2,33,0,indx_49
BARKCAMP,GR-LS,8-25,S,W,2009,170,100,indx_49,BARKCAMPGR-LS8-25SW,3,0,0,0,0,0,0,0,indx_49
BARKCAMP,GR-SL,0-8,S,W,2009,200,100,indx_49,BARKCAMPGR-SL0-8SW,3,0,0,0,0,0,0,0,indx_49
BARKCAMP,L,8-25,S,W,2009,170,100,indx_49,BARKCAMPL8-25SW,3,0,0,0,0,2,33,0,indx_49
"BARKCAMP,VERY STONY",CN-SL,0-8,S,W,2009,200,100,indx_49,"BARKCAMP,VERY STONYCN-SL0-8SW",3,0,0,0,0,0,0,0,indx_49
"BARKCAMP,VERY STONY",FLV-SL,0-8,S,W,2009,200,100,indx_49,"BARKCAMP,VERY STONYFLV-SL0-8SW",3,0,0,0,0,0,0,0,indx_49
"BARKCAMP,VERY STONY",FLV-SL,8-25,S,W,2009,170,100,indx_49,"BARKCAMP,VERY STONYFLV-SL8-25SW",3,0,0,0,0,0,0,0,indx_49
BEASLEY,SIL,12-18,M,W,2009,320,100,indx_69,BEASLEYSIL12-18MW,3,83,28,35,63,4,61,56,indx_59
BEASLEY,SIL,6-12,M,W,2009,580,100,indx_69,BEASLEYSIL6-12MW,2,90,30,38,68,4.4,67,61,indx_69
"BEAUCOUP,OF-PH",SICL,0-2,S,VP,2009,1000,100,indx_79,"BEAUCOUP,OF-PHSICL0-2SVP",2,120,44,48,0,4.5,79,82,indx_89
BELMORE,L,0-2,S,W,2009,270,100,indx_69,BELMOREL0-2SW,2,96,30,40,80,4,67,64,indx_69
BELMORE,L,1-4,S,W,2009,200,100,indx_69,BELMOREL1-4SW,2,94,29,39,78,3.9,65,62,indx_69
BELMORE,L,12-18,M,W,2009,170,100,indx_59,BELMOREL12-18MW,3,78,24,33,64,3.3,54,52,indx_59
BELMORE,L,12-18,S,W,2009,180,100,indx_59,BELMOREL12-18SW,3,81,25,34,67,3.4,56,54,indx_59
BELMORE,L,2-6,S,W,2009,260,100,indx_69,BELMOREL2-6SW,2,92,29,38,77,3.8,64,61,indx_69
BELMORE,L,6-12,M,W,2009,240,100,indx_59,BELMOREL6-12MW,2,84,27,36,69,3.6,59,57,indx_59
BELMORE,L,6-12,S,W,2009,250,100,indx_69,BELMOREL6-12SW,2,88,28,37,72,3.7,61,59,indx_59
BELMORE,SL,0-2,S,W,2009,200,100,indx_69,BELMORESL0-2SW,2,93,29,39,78,3.9,65,62,indx_69
