id,soil_series,texture,slope,erosion,drainage,prod_index,indx,cropland_unadj,woodland_unadj,year
BELMORESL2-6SW,BELMORE,SL,2-6,S,W,62,indx_69,350,230,2018
BELMORESL6-12SW,BELMORE,SL,6-12,S,W,60,indx_69,355,230,2018
"BELMORE,T-SUBSTL2-6SW","BELMORE,T-SUBST",L,2-6,S,W,64,indx_69,355,230,2018
BELPREC12-18SW,BELPRE,C,12-18,S,W,54,indx_59,350,230,2018
BELPREC18-25SW,BELPRE,C,18-25,S,W,42,indx_49,350,230,2018
BELPREC6-12SW,BELPRE,C,6-12,S,W,61,indx_69,355,230,2018
BENNINGTON-FITCHVILLESIL2-6SSWP,BENNINGTON-FITCHVILLE,SIL,2-6,S,SWP,67,indx_69,935,230,2018
BENNINGTONL0-2SSWP,BENNINGTON,L,0-2,S,SWP,69,indx_69,1250,230,2018
"BENNINGTON-PYRMONT,LM-SUBSTSIL0-2SSWP","BENNINGTON-PYRMONT,LM-SUBST",SIL,0-2,S,SWP,65,indx_69,360,230,2018
"BENNINGTON,SH-SUBSTSIL0-2SSWP","BENNINGTON,SH-SUBST",SIL,0-2,S,SWP,68,indx_69,995,230,2018
"BENNINGTON,SH-SUBSTSIL2-6SSWP","BENNINGTON,SH-SUBST",SIL,2-6,S,SWP,66,indx_69,520,230,2018
BENNINGTONSIL0-2SSWP,BENNINGTON,SIL,0-2,S,SWP,69,indx_69,1250,230,2018
BENNINGTONSIL0-3SSWP,BENNINGTON,SIL,0-3,S,SWP,69,indx_69,1250,230,2018
BENNINGTONSIL2-4SSWP,BENNINGTON,SIL,2-4,S,SWP,67,indx_69,1065,230,2018
BENNINGTONSIL2-6MSWP,BENNINGTON,SIL,2-6,M,SWP,63,indx_69,700,230,2018
BENNINGTONSIL2-6SSWP,BENNINGTON,SIL,2-6,S,SWP,66,indx_69,960,230,2018
BENNINGTON-TIROSIL0-2SSWP,BENNINGTON-TIRO,SIL,0-2,S,SWP,65,indx_69,1055,230,2018
"BERKS-AARON,C6-15SW","BERKS-AARON,C",,6-15,S,W,57,indx_59,350,230,2018
BERKSCH-SIL2-8SW,BERKS,CH-SIL,2-8,S,W,54,indx_59,350,230,2018
BERKSCN-SIL0-6SW,BERKS,CN-SIL,0-6,S,W,54,indx_59,350,230,2018
BERKSCN-SIL12-18SW,BERKS,CN-SIL,12-18,S,W,45,indx_49,350,230,2018
BERKSCN-SIL12-20SW,BERKS,CN-SIL,12-20,S,W,45,indx_49,350,230,2018
BERKSCN-SIL15-25MW,BERKS,CN-SIL,15-25,M,W,42,indx_49,350,230,2018
BERKSCN-SIL15-25SW,BERKS,CN-SIL,15-25,S,W,44,indx_49,350,230,2018
BERKSCN-SIL2-6SW,BERKS,CN-SIL,2-6,S,W,54,indx_59,350,230,2018
BERKSCN-SIL2-8SW,BERKS,CN-SIL,2-8,S,W,54,indx_59,350,230,2018
BERKSCN-SIL6-12SW,BERKS,CN-SIL,6-12,S,W,53,indx_59,350,230,2018
BERKSCN-SIL6-15SW,BERKS,CN-SIL,6-15,S,W,52,indx_59,350,230,2018
BERKSCN-SIL6-18SW,BERKS,CN-SIL,6-18,S,W,50,indx_59,350,230,2018
BERKSCN-SIL8-15SW,BERKS,CN-SIL,8-15,S,W,50,indx_59,350,230,2018
"BERKS-GUERNSEY,C.15-25SW","BERKS-GUERNSEY,C.",,15-25,S,W,48,indx_49,350,230,2018
"BERKS-GUERNSEY,C.8-15SW","BERKS-GUERNSEY,C.",,8-15,S,W,52,indx_59,350,230,2018
BERKS-MUSKINGUM-NEOTOMACN-SIL6-18SW,BERKS-MUSKINGUM-NEOTOMA,CN-SIL,6-18,S,W,43,indx_49,350,230,2018
BERKSSH-SIL15-25SW,BERKS,SH-SIL,15-25,S,W,44,indx_49,350,230,2018
BERKSSH-SIL3-8SW,BERKS,SH-SIL,3-8,S,W,53,indx_59,350,230,2018
BERKSSH-SIL8-15SW,BERKS,SH-SIL,8-15,S,W,50,indx_59,350,230,2018
BERKSSIL12-18SW,BERKS,SIL,12-18,S,W,47,indx_49,350,230,2018
BERKSSIL15-25SW,BERKS,SIL,15-25,S,W,45,indx_49,350,230,2018
BERKSSIL18-25SW,BERKS,SIL,18-25,S,W,45,indx_49,350,230,2018
BERKSSIL3-8SW,BERKS,SIL,3-8,S,W,55,indx_59,350,230,2018
BERKSSTV-SIL15-25MW,BERKS,STV-SIL,15-25,M,W,0,indx_49,350,230,2018
"BERKS-TARHOLLOW,C6-15SW","BERKS-TARHOLLOW,C",,6-15,S,W,57,indx_59,350,230,2018
BERKS-WESTMORELANDSIL15-25SW,BERKS-WESTMORELAND,SIL,15-25,S,W,48,indx_49,350,230,2018
BETHESDACL0-8SW,BETHESDA,CL,0-8,S,W,32,indx_49,350,230,2018
BETHESDACL8-25SW,BETHESDA,CL,8-25,S,W,26,indx_49,350,230,2018
BETHESDACN-CL0-8SW,BETHESDA,CN-CL,0-8,S,W,33,indx_49,350,230,2018
BETHESDACN-CL15-25SW,BETHESDA,CN-CL,15-25,S,W,25,indx_49,350,230,2018
BETHESDACN-CL8-15SW,BETHESDA,CN-CL,8-15,S,W,25,indx_49,350,230,2018
BETHESDACN-CL8-20SW,BETHESDA,CN-CL,8-20,S,W,25,indx_49,350,230,2018
BETHESDACN-CL8-25SW,BETHESDA,CN-CL,8-25,S,W,25,indx_49,350,230,2018
BETHESDACN-L0-8SW,BETHESDA,CN-L,0-8,S,W,33,indx_49,350,230,2018
BETHESDACN-L8-20SW,BETHESDA,CN-L,8-20,S,W,25,indx_49,350,230,2018
BETHESDACN-L8-25SW,BETHESDA,CN-L,8-25,S,W,25,indx_49,350,230,2018
BETHESDACN-SICL0-8SW,BETHESDA,CN-SICL,0-8,S,W,33,indx_49,350,230,2018
BETHESDACN-SICL8-25SW,BETHESDA,CN-SICL,8-25,S,W,25,indx_49,350,230,2018
BETHESDACNV-CL0-8SW,BETHESDA,CNV-CL,0-8,S,W,33,indx_49,350,230,2018
BETHESDACNV-CL3-15SW,BETHESDA,CNV-CL,3-15,S,W,30,indx_49,350,230,2018
BETHESDACNV-CL8-20SW,BETHESDA,CNV-CL,8-20,S,W,25,indx_49,350,230,2018
BETHESDAL0-8SW,BETHESDA,L,0-8,S,W,34,indx_49,350,230,2018
BETHESDAL8-25SW,BETHESDA,L,8-25,S,W,26,indx_49,350,230,2018
BETHESDASH-CL0-8SW,BETHESDA,SH-CL,0-8,S,W,33,indx_49,350,230,2018
BETHESDASH-CL8-25SW,BETHESDA,SH-CL,8-25,S,W,25,indx_49,350,230,2018
BETHESDASH-SICL0-8SW,BETHESDA,SH-SICL,0-8,S,W,33,indx_49,350,230,2018
BETHESDASH-SICL8-25SW,BETHESDA,SH-SICL,8-25,S,W,25,indx_49,350,230,2018
BETHESDASH-SIL1-15SW,BETHESDA,SH-SIL,1-15,S,W,28,indx_49,350,230,2018
BETHESDASH-SIL15-25SW,BETHESDA,SH-SIL,15-25,S,W,25,indx_49,350,230,2018
BETHESDASHV-CL3-15SW,BETHESDA,SHV-CL,3-15,S,W,25,indx_49,350,230,2018
BETHESDASHV-CL8-25SW,BETHESDA,SHV-CL,8-25,S,W,25,indx_49,350,230,2018
BETHESDASHV-SIC0-8SW,BETHESDA,SHV-SIC,0-8,S,W,33,indx_49,350,230,2018
BETHESDASICL0-8SW,BETHESDA,SICL,0-8,S,W,26,indx_49,350,230,2018
BETHESDASICL15-25SW,BETHESDA,SICL,15-25,S,W,26,indx_49,350,230,2018
BETHESDASICL2-12SW,BETHESDA,SICL,2-12,S,W,33,indx_49,350,230,2018
BETHESDASICL8-20SW,BETHESDA,SICL,8-20,S,W,26,indx_49,350,230,2018
BETHESDASIL0-8SW,BETHESDA,SIL,0-8,S,W,34,indx_49,350,230,2018
BETHESDASIL8-20SW,BETHESDA,SIL,8-20,S,W,26,indx_49,350,230,2018
BETHESDASIL8-25SW,BETHESDA,SIL,8-25,S,W,26,indx_49,350,230,2018
"BIGLICK-MILTON,C0-2SW","BIGLICK-MILTON,C",,0-2,S,W,54,indx_59,350,230,2018
"BIGLICK-MILTON,C2-6SW","BIGLICK-MILTON,C",,2-6,S,W,54,indx_59,350,230,2018
BIRKBECKSIL0-2SMW,BIRKBECK,SIL,0-2,S,MW,82,indx_89,2035,1035,2018
BIRKBECKSIL1-4SMW,BIRKBECK,SIL,1-4,S,MW,81,indx_89,1950,950,2018
BIRKBECKSIL2-6MMW,BIRKBECK,SIL,2-6,M,MW,76,indx_79,1515,515,2018
BIRKBECKSIL2-6SMW,BIRKBECK,SIL,2-6,S,MW,79,indx_79,1810,810,2018
"BIXLER,C-SUBSTLS0-2SSWP","BIXLER,C-SUBST",LS,0-2,S,SWP,67,indx_69,885,230,2018
BIXLERLFS0-2SSWP,BIXLER,LFS,0-2,S,SWP,69,indx_69,1130,230,2018
BIXLERLFS0-3SSWP,BIXLER,LFS,0-3,S,SWP,69,indx_69,1130,230,2018
BIXLERLFS2-6SSWP,BIXLER,LFS,2-6,S,SWP,66,indx_69,840,230,2018
"BLAIRTON-RARDEN-GILPIN,AS5-20SMW","BLAIRTON-RARDEN-GILPIN,AS",,5-20,S,MW,57,indx_59,350,230,2018
BLAKESLEESIL0-2SMW,BLAKESLEE,SIL,0-2,S,MW,71,indx_79,1265,265,2018
BLAKESLEESIL2-6SMW,BLAKESLEE,SIL,2-6,S,MW,69,indx_69,1090,230,2018
BLAKESLEESIL6-12SMW,BLAKESLEE,SIL,6-12,S,MW,64,indx_69,765,235,2018
BLANCHESTERSICL0-1SVP,BLANCHESTER,SICL,0-1,S,VP,77,indx_79,1625,235,2018
BLANCHESTERSIL0-1SVP,BLANCHESTER,SIL,0-1,S,VP,77,indx_79,1625,235,2018
BLANCHESTERSIL0-2SVP,BLANCHESTER,SIL,0-2,S,VP,79,indx_79,1755,345,2018
BLOUNT-DEL REYSIL1-6SSWP,BLOUNT-DEL REY,SIL,1-6,S,SWP,68,indx_69,1210,230,2018
"BLOUNT-HOUCKTOWN,C0-3SSWP","BLOUNT-HOUCKTOWN,C",,0-3,S,SWP,77,indx_79,1775,230,2018
"BLOUNT-JENERA,C0-3SSWP","BLOUNT-JENERA,C",,0-3,S,SWP,79,indx_79,1685,225,2018
BLOUNTL0-2SSWP,BLOUNT,L,0-2,S,SWP,78,indx_79,1760,235,2018
BLOUNTL0-3SSWP,BLOUNT,L,0-3,S,SWP,78,indx_79,1760,235,2018
BLOUNTL2-6MSWP,BLOUNT,L,2-6,M,SWP,71,indx_79,1245,230,2018
BLOUNTL2-6SSWP,BLOUNT,L,2-6,S,SWP,74,indx_79,1465,235,2018
"BLOUNT,LM-SUBSTSIL0-3SSWP","BLOUNT,LM-SUBST",SIL,0-3,S,SWP,78,indx_79,1760,235,2018
"BLOUNT,L-SUBSTL0-2SSWP","BLOUNT,L-SUBST",L,0-2,S,SWP,78,indx_79,1760,235,2018
"BLOUNT,L-SUBSTL2-6SSWP","BLOUNT,L-SUBST",L,2-6,S,SWP,74,indx_79,1465,235,2018
"BLOUNT-RIMER,C.2-6SSWP","BLOUNT-RIMER,C.",,2-6,S,SWP,68,indx_69,670,230,2018
BLOUNTSIL0-2SSWP,BLOUNT,SIL,0-2,S,SWP,78,indx_79,1760,235,2018
BLOUNTSIL0-4SSWP,BLOUNT,SIL,0-4,S,SWP,76,indx_79,1655,235,2018
BLOUNTSIL2-4SSWP,BLOUNT,SIL,2-4,S,SWP,75,indx_79,1470,235,2018
