county,parcels,acres_cauv,cauv,market_value,year,appraisal
holmes,4786,199957,12887280,66675310,1989,update
huron,7801,272824,22101340,85997800,1989,NA
jackson,1386,54120,2485690,7431250,1989,NA
jefferson,776,42595,1668110,4907420,1989,NA
knox,4617,233689,17398570,43181470,1989,NA
lake,1053,20425,2372950,21497600,1989,NA
lawrence,3335,94013,3477400,12937550,1989,update
licking,4084,240255,23855010,98349450,1989,NA
logan,4183,251766,22279780,74065310,1989,reappraisal
lorain,4389,154029,12274850,69842460,1989,NA
lucas,2817,75975,13908210,63768400,1989,NA
madison,2358,273602,43964900,91427280,1989,NA
mahoning,2497,93996,6695030,31066530,1989,NA
marion,4472,217120,27067480,75465650,1989,reappraisal
medina,4338,145932,13418140,74413770,1989,reappraisal
meigs,1377,50976,3052720,6263570,1989,update
mercer,4659,271738,38475720,174249350,1989,NA
miami,3808,209977,25713530,103225940,1989,reappraisal
monroe,1797,114543,5469770,7627850,1989,update
montgomery,2928,122637,24752220,104916510,1989,NA
morgan,3184,108198,5183440,12994530,1989,NA
morrow,3130,213419,24402500,56331530,1989,NA
muskingum,3840,177310,15496160,33343750,1989,NA
noble,1634,67856,3128010,6782990,1989,NA
ottawa,2701,113105,17231160,47668180,1989,NA
paulding,3729,247480,22228680,91071740,1989,update
perry,1556,78798,5305010,16967720,1989,NA
pickaway,5309,286358,42540970,90777930,1989,NA
pike,3542,151587,10882230,17551560,1989,NA
portage,2892,114834,7726120,40954160,1989,NA
preble,3679,231355,31542460,110550100,1989,NA
putnam,8036,290697,43654810,147239800,1989,NA
richland,5462,228939,21407330,70370380,1989,NA
ross,3459,312733,21697510,62191020,1989,reappraisal
sandusky,4672,222502,29663130,100935760,1989,NA
scioto,3466,134613,5745980,19317130,1989,update
seneca,6204,324195,41222290,128719660,1989,NA
shelby,5310,233938,31554470,94864340,1989,NA
stark,3758,137556,14912310,64883030,1989,NA
summit,347,16240,2276940,12857200,1989,NA
trumbull,2567,119513,7833070,30763120,1989,NA
tuscarawas,6530,218785,10970270,52865380,1989,update
union,4704,245669,27787430,105295540,1989,reappraisal
van wert,4361,247511,41052210,131818950,1989,NA
vinton,324,38064,1458890,2896940,1989,NA
warren,3379,165259,19666010,117557940,1989,NA
washington,5020,154894,6548380,16348130,1989,update
wayne,5962,261993,29998710,124497530,1989,NA
williams,4087,238490,24732220,52644920,1989,NA
wood,8694,338406,62743630,173522630,1989,NA
wyandot,5093,235926,23029120,91580180,1989,reappraisal
adams,5850,256399,12029760,44231210,1990,NA
allen,4168,204169,29429500,105525210,1990,NA
ashland,3180,211194,13758560,59201450,1990,reappraisal
ashtabula,3609,187726,10189320,47049920,1990,reappraisal
athens,1288,61363,3555720,8503480,1990,reappraisal
auglaize,4656,228862,25487740,101267790,1990,update
belmont,1233,65787,2937680,7424490,1990,NA
brown,3374,253775,19578860,56027310,1990,NA
butler,3558,170828,19995400,124449600,1990,reappraisal
carroll,2532,122690,5969240,22410610,1990,NA
champaign,4591,240362,24883080,72675700,1990,NA
clark,3851,185383,24837610,65428960,1990,NA
clermont,3181,144329,12321650,72389940,1990,reappraisal
clinton,2812,229681,23226120,78737750,1990,update
columbiana,1402,84501,8019700,30500060,1990,NA
coshocton,3582,175327,11505050,38033870,1990,NA
crawford,5214,230302,22924890,75680550,1990,NA
cuyahoga,95,1124,502630,2376280,1990,NA
darke,6505,351872,43104530,140322830,1990,update
defiance,4401,234146,23653720,78482020,1990,update
delaware,5e3,190435,19814300,122246610,1990,update
erie,2167,97884,13852820,46141280,1990,NA
fairfield,4130,223011,22216940,100934160,1990,NA
fayette,3562,242162,33793790,57633760,1990,NA
franklin,2794,112538,17839520,147616390,1990,update
fulton,4720,234107,28583260,133267580,1990,reappraisal
gallia,3014,118854,5769090,14206570,1990,update
geauga,1562,64640,5074640,33662650,1990,update
greene,4219,191059,25721640,99300370,1990,reappraisal
guernsey,2792,136643,11763370,19720360,1990,NA
hamilton,824,22704,3068e3,35049320,1990,update
hancock,5539,301569,39473240,143161e3,1990,NA
hardin,5126,282370,30583310,98774090,1990,update
harrison,1216,75103,3292670,9236040,1990,update
henry,5106,247529,33978460,140435730,1990,update
highland,6472,288430,23060130,53290870,1990,NA
hocking,314,31002,1641780,5074400,1990,NA
holmes,4920,201393,12992610,67143120,1990,NA
huron,7834,272732,22060420,85884930,1990,NA
jackson,1354,53143,2294170,7291420,1990,update
jefferson,815,44343,1752180,5121520,1990,NA
knox,4617,234804,13859350,58809690,1990,reappraisal
lake,1073,19981,2462630,21758610,1990,NA
lawrence,3357,93335,3417340,12824910,1990,NA
licking,4189,243235,20494830,101398280,1990,update
logan,4172,250934,22217940,74228200,1990,NA
lorain,4436,153840,12307290,69929860,1990,NA
lucas,2820,74786,13693820,65005030,1990,NA
madison,2391,271368,32890090,92695340,1990,reappraisal
mahoning,2509,94700,5397350,31277010,1990,update
marion,4505,217582,27047050,75625360,1990,NA
medina,4523,145785,13617410,74988650,1990,NA
meigs,1375,50915,3050760,6253720,1990,NA
mercer,4680,271574,30178350,173214510,1990,update
miami,3815,209466,25676160,102877890,1990,NA
monroe,1805,115395,4573310,7729780,1990,NA
montgomery,2877,121848,15898050,100144500,1990,reappraisal
morgan,3216,109008,5215920,13071020,1990,NA
morrow,3156,212813,18364190,56174500,1990,update
muskingum,3856,178041,15508080,33257880,1990,NA
noble,1664,68159,2981580,7497170,1990,reappraisal
ottawa,2716,113325,17280530,47765440,1990,NA
paulding,3778,247519,22192230,91068440,1990,NA
perry,1551,80667,4174240,17356680,1990,update
pickaway,5317,285948,30521590,90917450,1990,update
pike,3598,154143,11019140,17836560,1990,update
portage,2917,115092,7686590,41104810,1990,NA
preble,3697,231448,25057800,107242920,1990,update
putnam,8241,292463,32591740,149993510,1990,update
richland,5499,228296,16524350,70208380,1990,update
ross,3508,313190,21699390,62388150,1990,NA
sandusky,4696,222134,29550990,100605270,1990,NA
scioto,3729,141246,6109970,20782540,1990,NA
seneca,6239,323889,32255310,128542850,1990,update
shelby,5324,233107,24674270,94868190,1990,update
stark,3977,138099,15044950,68328940,1990,NA
summit,351,16617,2369250,17173280,1990,reappraisal
trumbull,2629,121468,6656870,31279010,1990,update
tuscarawas,6644,219673,11070240,53205050,1990,NA
union,4712,245e3,27772890,105032640,1990,NA
van wert,4386,247263,31327830,122962620,1990,update
vinton,329,39937,1470610,2918960,1990,NA
warren,3352,162482,19318140,114938770,1990,NA
washington,5022,153549,6544020,16249440,1990,NA
wayne,1157,48116,5050610,19756180,1990,reappraisal
williams,4110,238065,24688980,52636540,1990,NA
wood,8831,339263,51320410,175343510,1990,update
wyandot,5127,235974,22975810,91540100,1990,NA
adams,5715,253316,11860490,43773900,1991,NA
allen,4182,203832,26159020,90371220,1991,reappraisal
ashland,3223,211608,13820740,59349730,1991,NA
ashtabula,3646,188525,10266050,47363730,1991,NA
athens,1312,62834,3542310,8668960,1991,NA
auglaize,4644,228125,25387650,100923860,1991,NA
belmont,1266,67111,3127340,7610240,1991,update
brown,3429,247539,15849940,56361450,1991,update
butler,3650,170569,19800660,125571570,1991,NA
carroll,2624,126354,6158360,23109800,1991,NA
champaign,4633,241263,25083790,72834780,1991,NA
clark,3885,185275,24895390,68122760,1991,NA
clermont,3043,142849,12189190,68584240,1991,NA
clinton,2928,229764,23150530,78778940,1991,NA
columbiana,1485,87342,7941850,30319070,1991,NA
coshocton,3711,179110,9093590,40652130,1991,reappraisal
crawford,5209,230198,19515340,89068450,1991,update
cuyahoga,97,1221,550340,2583530,1991,update
darke,6583,351389,42978490,140188050,1991,NA
defiance,4433,233972,23587990,78280890,1991,NA
delaware,5041,189584,19797130,123375020,1991,NA
erie,2187,98101,12516600,46304480,1991,update
fairfield,4185,223036,22392070,100193330,1991,NA
fayette,3552,241656,29497370,74666580,1991,update
franklin,2592,108257,17587520,139226430,1991,NA
fulton,4781,233982,28323820,133249940,1991,NA
gallia,3086,120432,5851930,14388700,1991,NA
geauga,1536,64572,5059010,33476430,1991,NA
greene,4205,189262,25558470,97964770,1991,NA
guernsey,2766,131416,12280320,20880850,1991,reappraisal
hamilton,873,23972,3306472,42655610,1991,NA
hancock,5520,301085,39319380,142835410,1991,NA
hardin,5140,281437,30490670,98484110,1991,NA
