id,soil_series,texture,slope,erosion,drainage,prod_index,indx,cropland,woodland,year
ASHTONSIL0-3SW,ASHTON,SIL,0-3,S,W,81,indx_89,1770,770,2017
ASHTONSIL2-6SW,ASHTON,SIL,2-6,S,W,78,indx_79,1520,520,2017
ATHERTONSIL0-2SVP,ATHERTON,SIL,0-2,S,VP,60,indx_69,1220,230,2017
ATLASSICL6-12MSWP,ATLAS,SICL,6-12,M,SWP,59,indx_59,410,230,2017
ATLASSIL2-6MSWP,ATLAS,SIL,2-6,M,SWP,63,indx_69,840,230,2017
ATLASSIL2-6SSWP,ATLAS,SIL,2-6,S,SWP,66,indx_69,990,230,2017
ATLASSIL6-12MSWP,ATLAS,SIL,6-12,M,SWP,60,indx_69,540,230,2017
ATLASSIL6-12SESWP,ATLAS,SIL,6-12,SE,SWP,31,indx_49,350,230,2017
AURANDFSL0-2SSWP,AURAND,FSL,0-2,S,SWP,92,indx_99,2880,1080,2017
AURANDL0-2SSWP,AURAND,L,0-2,S,SWP,94,indx_99,3010,1210,2017
AURANDL0-3SSWP,AURAND,L,0-3,S,SWP,94,indx_99,3010,1210,2017
AURANDSIL0-3SSWP,AURAND,SIL,0-3,S,SWP,94,indx_99,3010,1210,2017
AVASIL0-3SMW,AVA,SIL,0-3,S,MW,75,indx_79,1830,830,2017
AVASIL3-8MMW,AVA,SIL,3-8,M,MW,68,indx_69,1270,270,2017
AVASIL8-15MMW,AVA,SIL,8-15,M,MW,64,indx_69,990,230,2017
AVERYSIL2-6SMW,AVERY,SIL,2-6,S,MW,78,indx_79,1740,740,2017
"AVONBURG-ATLAS,C.2-6MSWP","AVONBURG-ATLAS,C.",,2-6,M,SWP,65,indx_69,1060,230,2017
AVONBURGSIL0-2SSWP,AVONBURG,SIL,0-2,S,SWP,70,indx_79,1510,230,2017
AVONBURGSIL2-6MSWP,AVONBURG,SIL,2-6,M,SWP,65,indx_69,1060,230,2017
AVONBURGSIL2-6SSWP,AVONBURG,SIL,2-6,S,SWP,67,indx_69,1340,230,2017
BARKCAMPCL0-8SW,BARKCAMP,CL,0-8,S,W,50,indx_59,350,230,2017
BARKCAMPCL8-25SW,BARKCAMP,CL,8-25,S,W,33,indx_49,350,230,2017
BARKCAMPGR-LS8-25SW,BARKCAMP,GR-LS,8-25,S,W,0,indx_49,350,230,2017
BARKCAMPGR-SL0-8SW,BARKCAMP,GR-SL,0-8,S,W,0,indx_49,350,230,2017
BARKCAMPL8-25SW,BARKCAMP,L,8-25,S,W,33,indx_49,350,230,2017
"BARKCAMP,VERY STONYCN-SL0-8SW","BARKCAMP,VERY STONY",CN-SL,0-8,S,W,0,indx_49,350,230,2017
"BARKCAMP,VERY STONYFLV-SL0-8SW","BARKCAMP,VERY STONY",FLV-SL,0-8,S,W,0,indx_49,350,230,2017
"BARKCAMP,VERY STONYFLV-SL8-25SW","BARKCAMP,VERY STONY",FLV-SL,8-25,S,W,0,indx_49,350,230,2017
BEASLEYSIL12-18MW,BEASLEY,SIL,12-18,M,W,61,indx_69,350,230,2017
