county,tangible_property_delinquent,real_property_delinquent,special_delinquent,total_delinquent,year
seneca,668193,1605209,105424,2378827,2005
shelby,1601165,1355118,89292,3045575,2005
stark,14425603,19805787,5910574,40141964,2005
summit,25072194,35662196,7368736,68103126,2005
trumbull,24536046,16597520,1228885,42362451,2005
tuscarawas,1332676,3864022,159499,5356197,2005
union,2197222,2349630,54630,4601482,2005
van wert,916347,898797,65016,1880159,2005
vinton,195749,1227467,11747,1434963,2005
warren,3672949,9912615,408705,13994269,2005
washington,1704914,2333209,31510,4069633,2005
wayne,1386141,5771194,154174,7311510,2005
williams,688101,1522880,84299,2295280,2005
wood,3399370,5839462,1697570,10936402,2005
wyandot,646693,589788,5151,1241631,2005
adams,1074963,1552435,14597,2641996,2006
allen,3699284,6240240,2802965,12742489,2006
ashland,953501,2551136,4868,3509505,2006
ashtabula,1856790,8065581,2402081,12324451,2006
athens,415219,4415382,243927,5074528,2006
auglaize,676468,1444075,77290,2197832,2006
belmont,427338,5097158,614604,6139100,2006
brown,161313,2352151,342862,2856327,2006
butler,9755045,23809780,1871240,35436065,2006
carroll,145980,1233303,133290,1512572,2006
champaign,998458,1892605,176975,3068039,2006
clark,1397134,12576755,1259538,15233427,2006
clermont,2284519,9401496,323350,12009366,2006
clinton,1236306,2437673,57011,3730990,2006
columbiana,3412306,7376789,327674,11116769,2006
coshocton,384162,2489436,49534,2923132,2006
crawford,1936774,1775112,41697,3753583,2006
cuyahoga,149224868,233351584,23525299,406101751,2006
darke,448667,1422204,22182,1893053,2006
defiance,1983149,1189563,76858,3249571,2006
delaware,2427783,9237558,355641,12020982,2006
erie,1302844,8353866,1507454,11164163,2006
fairfield,1109384,8562478,773691,10445553,2006
fayette,681333,1444218,130422,2255972,2006
franklin,53774937,79271982,2239628,135286547,2006
fulton,378039,2005832,69087,2452958,2006
gallia,718221,1616323,40352,2374896,2006
geauga,1042885,6740710,395964,8179560,2006
greene,3355685,9013852,472225,12841762,2006
guernsey,943420,3912840,275565,5131824,2006
hamilton,33920215,78265561,5219287,117405063,2006
hancock,4227758,3000181,195094,7423032,2006
hardin,392422,1553266,142927,2088615,2006
harrison,256268,1621551,30435,1908254,2006
henry,461477,1655666,82811,2199954,2006
highland,324015,1975211,177962,2477189,2006
hocking,987007,2030271,30719,3047997,2006
holmes,144484,1242215,1945,1388645,2006
huron,806377,2434742,90368,3331486,2006
jackson,587009,2646079,24432,3257520,2006
jefferson,2644508,7310148,3208627,13163282,2006
knox,297259,3105872,239363,3642494,2006
lake,12634731,23608859,1566961,37810550,2006
lawrence,120317,5184135,857879,6162331,2006
licking,2288551,8135598,607818,11031967,2006
logan,348994,3071848,411084,3831926,2006
lorain,6188863,18848597,1453917,26491376,2006
lucas,28327766,50884717,7205184,86417667,2006
madison,581315,2176505,71892,2829713,2006
mahoning,10985793,17399576,1326918,29712288,2006
marion,1642822,3739788,448752,5831362,2006
medina,4353756,10533585,305431,15192773,2006
meigs,65425,3233429,161966,3460821,2006
mercer,416598,941082,42328,1400008,2006
miami,2419230,3560581,104270,6084081,2006
monroe,1445398,1443983,134999,3024379,2006
montgomery,12838430,64330691,16625731,93794852,2006
morgan,0,1024982,17459,1042441,2006
morrow,1490786,2903602,171299,4565687,2006
muskingum,2154444,7900336,1340907,11395687,2006
noble,16756,1342295,3904,1362956,2006
ottawa,1438396,4045122,457991,5941510,2006
paulding,41888,940697,73622,1056206,2006
perry,971941,4349438,309806,5631185,2006
pickaway,777008,4882809,138325,5798141,2006
pike,307301,2726342,3089,3036732,2006
portage,5635045,10731996,705682,17072723,2006
preble,389839,2140729,286293,2816861,2006
putnam,406462,774593,80039,1261094,2006
richland,1800448,13725089,2610015,18135552,2006
ross,1372983,2893628,71080,4337690,2006
sandusky,2771978,3404651,166644,6343272,2006
scioto,677705,4582670,988788,6249163,2006
seneca,261256,2284006,112306,2657568,2006
shelby,534535,1311339,101171,1947045,2006
stark,10806005,20223297,5987283,37016586,2006
summit,12065465,45138818,7247165,64451448,2006
trumbull,26003196,19539335,1383076,46925607,2006
tuscarawas,1446167,3944210,156372,5546749,2006
union,1183967,2662422,35572,3881962,2006
van wert,1099047,832682,72640,2004369,2006
vinton,185626,1328786,12554,1526966,2006
warren,6420433,11324187,373173,18117794,2006
washington,502328,2490021,65063,3057412,2006
wayne,587062,7963515,175395,8725972,2006
williams,955468,1615761,82750,2653979,2006
wood,3805589,6569668,1485283,11860540,2006
wyandot,655009,680979,7404,1343392,2006
adams,239572,1668150,12919,1920641,2007
allen,2674276,6274103,3348600,12296979,2007
ashland,975724,2831598,5244,3812566,2007
ashtabula,1193618,9058632,2241325,12493575,2007
athens,179749,4930720,281795,5392263,2007
auglaize,218031,1694077,101720,2013828,2007
belmont,775771,5431228,742701,6949699,2007
brown,198919,2721057,412593,3332569,2007
butler,5948713,36703244,2264196,44916153,2007
carroll,99003,1243321,144531,1486856,2007
champaign,1008383,2007624,193801,3209807,2007
clark,1256160,12475411,1641135,15372706,2007
clermont,2428599,10296066,478834,13203498,2007
clinton,1847375,2558221,70773,4476369,2007
columbiana,3448746,8074898,681466,12205110,2007
coshocton,380522,2534605,44992,2960119,2007
crawford,802443,1907313,43329,2753085,2007
cuyahoga,26621612,266429639,29164449,322215700,2007
darke,482192,1520718,27896,2030806,2007
defiance,943434,1278104,94592,2316131,2007
delaware,2576032,10871950,449497,13897479,2007
erie,3338721,8671645,1804914,13815279,2007
fairfield,1112935,9262327,306389,10681651,2007
fayette,653531,1519832,130937,2304301,2007
franklin,54210939,94045534,3001742,151258215,2007
fulton,369975,1819391,70836,2260202,2007
gallia,1077959,1664901,40603,2783463,2007
