county,tangible_property_delinquent,real_property_delinquent,special_delinquent,total_delinquent,year
holmes,499368,766783,85275,1351425,1994
huron,1156358,1149072,23692,2329122,1994
jackson,30945,1724630,17444,1773020,1994
jefferson,3109344,4403552,1499222,9012118,1994
knox,130731,1398176,742721,2271628,1994
lake,21305438,6199714,2444603,29949756,1994
lawrence,130684,2539426,874144,3544254,1994
licking,1345801,4471506,281677,6098983,1994
logan,886540,1470344,372675,2729559,1994
lorain,5231190,6544749,1731406,13507345,1994
lucas,10167699,32573024,10934919,53675642,1994
madison,193104,889816,41504,1124423,1994
mahoning,10749157,29263796,6281890,46294843,1994
marion,514746,1745181,262660,2522587,1994
medina,2246557,5132136,2251565,9630258,1994
meigs,58476,1155031,10875,1224383,1994
mercer,80885,526647,43279,650811,1994
miami,991559,1208925,34097,2234581,1994
monroe,396062,381310,6531,783903,1994
montgomery,15003250,26775723,6272931,48051904,1994
morgan,20083,289644,0,309727,1994
morrow,27054,1918561,20023,1965639,1994
muskingum,2038257,3633309,409687,6081253,1994
noble,112085,889955,8490,1010530,1994
ottawa,742954,1567865,197853,2508672,1994
paulding,56509,587743,61395,705647,1994
perry,877095,1989306,56767,2923167,1994
pickaway,253918,1648034,66064,1968016,1994
pike,677082,1124006,226,1801313,1994
portage,1453938,4309768,358693,6122400,1994
preble,202932,1371985,436433,2011350,1994
putnam,725384,286957,25610,1037951,1994
richland,1692512,6096285,879405,8668202,1994
ross,709067,911523,36684,1657274,1994
sandusky,951432,1023712,117960,2093103,1994
scioto,615155,1773839,245497,2634491,1994
seneca,264728,856622,102944,1224293,1994
shelby,658648,678500,60221,1397369,1994
stark,4034029,12257994,3914449,20206473,1994
summit,13348664,22056800,4447650,39853114,1994
trumbull,7964831,11215259,1071554,20251643,1994
tuscarawas,1677477,1743221,102911,3523610,1994
union,2006796,812743,29853,2849391,1994
van wert,115945,370477,27155,513578,1994
vinton,18499,335077,2417,355994,1994
warren,734140,2514817,263770,3512728,1994
washington,1275260,963975,5218,2244454,1994
wayne,425789,1990924,28853,2445566,1994
williams,228058,587461,14154,829674,1994
wood,1425821,2501875,327133,4254828,1994
wyandot,193110,282278,9869,485257,1994
adams,154529,577269,2529,734327,1995
allen,3287273,2036260,504580,5828113,1995
ashland,493726,878002,5565,1377293,1995
ashtabula,952086,3106785,2458723,6517594,1995
athens,326667,1107933,29704,1464303,1995
auglaize,225404,564432,48489,838326,1995
belmont,664222,2563950,217130,3445302,1995
brown,60679,890804,68049,1019532,1995
butler,2331870,6144295,437787,8913951,1995
carroll,67348,405665,39024,512038,1995
champaign,452447,943049,16504,1412e3,1995
clark,1911958,3545621,492275,5949854,1995
clermont,1062976,3477795,66737,4607507,1995
clinton,2343263,815575,30980,3189819,1995
columbiana,4366362,4055480,156578,8578421,1995
coshocton,491819,634230,16533,1142582,1995
crawford,612395,1153102,10099,1775595,1995
cuyahoga,28795622,95440017,20587481,144823119,1995
darke,209471,798152,16412,1024035,1995
defiance,84134,651977,57534,793646,1995
delaware,1169007,2209891,28483,3407381,1995
erie,1057071,2764827,607343,4429240,1995
fairfield,806608,2100730,75212,2982549,1995
fayette,247071,497791,60643,805506,1995
franklin,22777712,35805218,721565,59304495,1995
fulton,142146,685146,14853,842145,1995
gallia,264422,658856,4216,927494,1995
geauga,977792,3653139,370381,5001311,1995
greene,912662,3209041,160427,4282129,1995
guernsey,171255,2567070,152877,2891202,1995
hamilton,25913363,34504957,1604034,62022354,1995
hancock,2294100,1005981,18926,3319007,1995
hardin,32978,1012416,23416,1068809,1995
harrison,62362,1021583,54827,1138773,1995
henry,386920,406244,37399,830563,1995
highland,97998,609149,10038,717184,1995
hocking,183282,672574,7376,863232,1995
holmes,234914,650072,150419,1035406,1995
huron,742718,1100303,37955,1880975,1995
jackson,45450,1805036,19426,1869913,1995
jefferson,4040410,3799840,1542949,9383199,1995
knox,174584,1529768,576280,2280632,1995
lake,21590639,6496478,1138857,29225974,1995
lawrence,94278,2959277,979941,4033495,1995
licking,1151162,3746708,268328,5166198,1995
logan,1140874,1499399,373357,3013630,1995
lorain,4695908,7345956,1468627,13510492,1995
lucas,8305762,30867925,9612802,48786489,1995
madison,220760,901863,27974,1150597,1995
mahoning,16629342,29680607,6969886,53279835,1995
marion,860499,1641907,265118,2767524,1995
medina,2351598,5468098,2160327,9980023,1995
meigs,55821,1200630,12506,1268957,1995
mercer,71264,522663,32498,626424,1995
miami,860356,1080731,32614,1973700,1995
monroe,542208,357340,8949,908497,1995
montgomery,15223108,24175158,6426996,45825262,1995
morgan,28036,393234,0,421270,1995
morrow,172378,2087088,21162,2280627,1995
muskingum,1766360,3837937,434965,6039261,1995
noble,140306,1005393,3879,1149578,1995
ottawa,649542,1649060,207772,2506374,1995
paulding,90888,546979,64262,702129,1995
perry,815430,1860096,29998,2705524,1995
pickaway,358769,1530211,69467,1958447,1995
pike,345198,1213127,189,1558515,1995
portage,1509099,4374815,365263,6249177,1995
preble,234175,1343199,353073,1930447,1995
putnam,693128,259682,13932,966741,1995
richland,1949594,5624180,894206,8467980,1995
ross,709297,854427,47628,1611353,1995
sandusky,970315,1116664,128006,2214985,1995
scioto,617498,2065424,258554,2941476,1995
seneca,656548,722159,81138,1459845,1995
shelby,1054716,697427,49617,1801759,1995
stark,3884051,13136046,4140708,21160804,1995
summit,12599636,21589776,4569958,38759370,1995
trumbull,7711114,10934489,1061550,19707153,1995
tuscarawas,1407262,1736686,78889,3222836,1995
union,3462597,808683,32518,4303798,1995
van wert,113702,307018,18713,439432,1995
vinton,9298,383238,5450,397986,1995
warren,517181,2569462,287145,3373787,1995
washington,297391,1051469,5818,1354678,1995
wayne,505492,1828834,31e3,2365326,1995
williams,266466,663371,23042,952878,1995
wood,1332975,2333086,311889,3977950,1995
wyandot,73472,316043,14860,404374,1995
adams,159247,616076,1766,775324,1996
allen,2924674,2909820,673181,5834494,1996
ashland,406229,961793,2142,1368022,1996
ashtabula,1418255,5008932,1868798,6427187,1996
athens,257881,1619576,32903,1877457,1996
auglaize,309054,650875,60296,959929,1996
belmont,727775,2915262,241945,3643037,1996
brown,72004,851868,60851,923872,1996
butler,2384158,6422371,411801,8806529,1996
carroll,876027,481985,47093,1358011,1996
champaign,504016,1070402,19372,1574418,1996
clark,1838738,4465456,688919,6304194,1996
clermont,1121428,3477244,67178,4598673,1996
clinton,795486,911355,28510,1706842,1996
columbiana,3738005,12513784,139143,16251788,1996
coshocton,486412,730706,15567,1217118,1996
crawford,1107296,1106246,10458,2213543,1996
cuyahoga,26591991,133365476,21855821,159957467,1996
darke,245697,857592,16985,1103289,1996
defiance,102672,731355,61571,834027,1996
delaware,1428709,2762708,24144,4191417,1996
erie,1262425,3593054,717773,4855479,1996
fairfield,631696,2495085,97556,3126781,1996
fayette,286783,542620,44225,829403,1996
franklin,25184337,36805194,633007,61989532,1996
fulton,42690,620339,13525,663029,1996
gallia,237368,678647,2378,916015,1996
geauga,965840,4642680,419361,5608520,1996
greene,1168242,4175403,307775,5343645,1996
guernsey,259856,2686103,101229,2945959,1996
hamilton,28935558,39742517,1656146,68678076,1996
hancock,1121586,1071573,28466,2193159,1996
hardin,187578,1138214,21998,1325792,1996
harrison,68376,1016901,54183,1085278,1996
henry,417574,450700,38807,868274,1996
highland,83917,658598,12038,742515,1996
hocking,193563,801028,6989,994591,1996
holmes,45789,915967,163989,961756,1996
huron,710849,1109301,46451,1820150,1996
jackson,27415,1927870,10908,1955285,1996
jefferson,3007253,5960799,1726886,8968053,1996
knox,214064,1961453,464965,2175517,1996
lake,25352678,11723479,1539134,37076157,1996
lawrence,94028,4248694,1114221,4342722,1996
licking,1453681,3934312,334494,5387993,1996
logan,908e3,2173924,414993,3081923,1996
lorain,8815019,7803740,1547735,16618759,1996
lucas,6858493,31995437,6683923,38853930,1996
madison,16989,884671,16323,901660,1996
mahoning,17241564,39489840,7725452,56731404,1996
marion,764376,1943987,215008,2708363,1996
medina,2131840,6681912,1069107,8813752,1996
meigs,71590,1361664,17201,1433254,1996
mercer,95868,621881,52043,717749,1996
miami,1053445,1297403,29019,2350848,1996
monroe,592456,399134,7821,991590,1996
montgomery,15663233,33271045,7226693,48934278,1996
morgan,594,316890,0,317484,1996
morrow,84343,1909864,22940,1994208,1996
muskingum,2153673,4271785,500613,6425458,1996
noble,244390,1174219,14456,1418610,1996
ottawa,545622,1933233,220926,2478855,1996
paulding,105499,522172,60326,627671,1996
perry,871017,2092206,29039,2963223,1996
pickaway,388722,1526172,79152,1914893,1996
pike,173599,1318948,206,1492546,1996
portage,996954,5450180,355911,6447134,1996
preble,449400,1577065,204620,2026465,1996
putnam,1875392,238468,9011,2113859,1996
richland,1209134,7140041,1039294,8349175,1996
ross,697993,995159,46707,1693152,1996
sandusky,735114,1147076,109818,1882189,1996
scioto,634527,2336888,344913,2971415,1996
seneca,532933,735779,38592,1268713,1996
shelby,772162,839396,46326,1611557,1996
stark,3796326,17267912,4354061,21064238,1996
summit,10538467,27581441,4676876,38119908,1996
trumbull,8134787,12296423,1100924,20431210,1996
tuscarawas,1408628,2130150,70571,3538778,1996
union,3774408,852106,35384,4626514,1996
van wert,124244,350006,23539,474250,1996
vinton,11167,400752,5950,411919,1996
warren,797716,2937446,236467,3735162,1996
washington,241838,1142243,9442,1384081,1996
wayne,707192,2295919,9590,3003111,1996
williams,182206,747629,24710,929835,1996
wood,1236306,2786946,243338,4023252,1996
wyandot,103895,268138,2926,372034,1996
adams,159463.73,584491.76,1554.07,745509.56,1997
allen,1838749.1,2063344.39,737282.23,4639375.72,1997
ashland,675452.6,1116223.18,865.4,1792541.18,1997
ashtabula,1021275.23,3270978.4,1710858.08,6003111.71,1997
athens,248971.01,1895979.16,45016.74,2189966.91,1997
auglaize,412714.74,678217.57,80959.05,1171891.36,1997
belmont,218323.18,2725846.46,266695.9,3210865.54,1997
brown,45781.58,893874.7,69942.4,1009598.68,1997
butler,2985448.74,6538925.81,488616.32,10012990.87,1997
carroll,1058463.48,473321.9,40559.08,1572344.46,1997
champaign,347572.51,1022641.61,20425.85,1390639.97,1997
clark,1861390.73,4096733.26,795164.63,6753288.62,1997
clermont,991985.53,5179924.98,108030.83,6279941.34,1997
clinton,1748896.22,979086.56,33195.04,2761177.82,1997
columbiana,3703680.25,4572023.92,160362.02,8436066.19,1997
coshocton,1943848.46,764027.55,14320.91,2722196.92,1997
crawford,650498.71,1106793.74,10197.14,1767489.59,1997
cuyahoga,40049777.39,115566655.01,20471265.79,176087698.19,1997
darke,409100.72,893087.29,23078.31,1325266.32,1997
defiance,134486.85,631187.74,70071.07,835745.66,1997
delaware,1564613.87,3113251.18,33256.56,4711121.61,1997
erie,1165727.37,3223772.92,767279.71,5156780,1997
fairfield,1124248.8,2379647.39,251445.6,3755341.79,1997
fayette,322238.07,541965.44,37357.11,901560.62,1997
franklin,32333963.72,39858141.09,652988.74,72845093.55,1997
fulton,71066.79,700676.41,14644.55,786387.75,1997
gallia,262114.49,737907.91,4471.32,1004493.72,1997
geauga,1333711.14,4297677.85,405467.16,6036856.15,1997
greene,1260678.84,4063594.88,361932.75,5686206.47,1997
guernsey,572493.97,2475068.47,106267.53,3153829.97,1997
hamilton,38684024.5,38823910.52,1687400.22,79195335.24,1997
hancock,571421.69,898935.6,20684.95,1491042.24,1997
hardin,124062.01,589823.6,14808.9,728694.51,1997
harrison,78992.76,918730.73,37845.26,1035568.75,1997
henry,1652898.57,582327.19,42569.05,2277794.81,1997
highland,84222.26,640352.24,18627.49,743201.99,1997
hocking,356360.79,831376.87,6720.11,1194457.77,1997
holmes,94549.89,887154.16,50505.28,1032209.33,1997
huron,1117319.91,1024758.33,53229.6,2195307.84,1997
jackson,31396.92,2232554.52,11204.35,2275155.79,1997
jefferson,3621255.27,4814611.62,1891661.09,10327527.98,1997
knox,376930.57,1676108.5,318760.85,2371799.92,1997
lake,27723840.54,17144060.76,1281519.97,46149421.27,1997
lawrence,101391.58,3221674.88,1184299.84,4507366.3,1997
licking,3014595.06,3853530.08,449884.36,7318009.5,1997
logan,898337.05,1729329.3,426302,3053968.35,1997
lorain,2764782.31,6803556.32,1594149.56,11162488.19,1997
lucas,16196600.81,25387873.89,6984610.07,48569084.77,1997
madison,116893.16,890095.7,28187.12,1035175.98,1997
mahoning,16819850.47,35553164.31,8574647.6,60947662.38,1997
marion,654602.13,1669617.49,172165.1,2496384.72,1997
medina,2251146.03,5994918.13,703834.08,8949898.24,1997
meigs,74116.18,1427080.47,32027,1533223.65,1997
mercer,96648.09,630946.51,43954.31,771548.91,1997
miami,1679183.24,1270728.52,64039.24,3013951,1997
monroe,311781,427498.83,11255.31,750535.14,1997
montgomery,13327388.04,28947691.18,7455889.68,49730968.9,1997
morgan,75.42,308174.12,348.84,308598.38,1997
morrow,30520.07,1891978.5,22009.24,1944507.81,1997
muskingum,1987454.16,3882933.08,562351.59,6432738.83,1997
noble,212920.94,763982.22,14488.64,991391.8,1997
ottawa,1179873.44,1959398.49,222647.86,3361919.79,1997
paulding,66482.16,425713.21,57824.45,550019.82,1997
perry,873180.85,2305748.52,20868.17,3199797.54,1997
pickaway,346451,2001790.1,97381.19,2445622.29,1997
pike,75664.04,1348079.66,224.88,1423968.58,1997
portage,912409.09,5704878.53,306237.56,6923525.18,1997
preble,452908.88,1359005.32,117500.91,1929415.11,1997
putnam,1693471.6,294066.4,9349.78,1996887.78,1997
richland,2018595.27,6619786.69,1188491.9,9826873.86,1997
ross,702099.74,1175028.78,49731.69,1926860.21,1997
sandusky,469172.56,1100372.75,65253.28,1634798.59,1997
scioto,650944.73,2149703.7,373350.9,3173999.33,1997
seneca,590486.65,844222.95,36898.03,1471607.63,1997
shelby,921597.43,628425.13,57388.28,1607410.84,1997
stark,2848630.57,14619035.52,4650124.57,22117790.66,1997
summit,9285474.82,25275111.77,5474601.76,40035188.35,1997
trumbull,8431771.98,11362489.48,1142063.3,20936324.76,1997
tuscarawas,1499691.16,2228718.49,78178.67,3806588.32,1997
union,3825929.66,880567.8,23751.37,4730248.83,1997
van wert,474748.44,348099.68,15810.17,838658.29,1997
vinton,12863.21,479533.34,6496.53,498893.08,1997
warren,981758.19,3292772.61,213923.14,4488453.94,1997
washington,595351.31,1095745.23,6106.44,1697202.98,1997
wayne,331638.95,2200463.97,7823.13,2539926.05,1997
williams,167864,616590.68,30890.43,815345.11,1997
wood,1375633.26,2779617.4,209362.73,4364613.39,1997
wyandot,15612.65,257598.85,1847.23,275058.73,1997
adams,24285,688210,1515,714010,1998
allen,2992420,2304589,860359,6157369,1998
ashland,531715,1200807,2104,1734626,1998
ashtabula,926367,3369667,1499954,5795988,1998
athens,152136,1833444,56640,2042220,1998
auglaize,350293,702411,54180,1106884,1998
belmont,109784,2964116,295191,3369091,1998
brown,119384,1205867,124267,1449518,1998
butler,2711546,7946972,488818,11147336,1998
carroll,240038,459881,47008,746927,1998
champaign,633502,1246121,14808,1894431,1998
clark,1888411,4524207,1002576,7415194,1998
clermont,1547159,4425442,91514,6064115,1998
clinton,789498,1229537,47992,2067027,1998
columbiana,2250254,3376608,111705,5738567,1998
coshocton,1757144,828472,6562,2592178,1998
crawford,721532,1034666,8190,1764388,1998
cuyahoga,43805616,132199001,22623238,198627855,1998
darke,322604,776448,26470,1125522,1998
defiance,234776,696237,42692,973705,1998
delaware,2316936,3637325,28779,5983040,1998
erie,1308212,3704806,765450,5778468,1998
fairfield,744971,2906516,247185,3898672,1998
fayette,476560,490343,11023,977926,1998
franklin,31879179,38206470,606557,70692206,1998
fulton,89384,773413,17253,880050,1998
gallia,268042,698924,3686,970652,1998
geauga,1310985,4145697,437423,5894105,1998
greene,1236447,4832705,268603,6337755,1998
guernsey,582229,2465569,109197,3156995,1998
hamilton,29126547,38439919,2043391,69609857,1998
hancock,927815,1059735,32952,2020502,1998
hardin,116029,581254,15824,713107,1998
harrison,82646,1038679,20794,1142119,1998
henry,2370702,535141,35090,2940933,1998
highland,104663,758925,19409,882997,1998
hocking,317272,799883,6226,1123381,1998
holmes,49551,838974,27638,916163,1998
huron,818522,1062115,63640,1944277,1998
jackson,17847,2279580,11626,2309053,1998
jefferson,5809549,5410892,2069681,13290122,1998
knox,205767,1694457,256210,2156434,1998
lake,39030529,23606548,1492498,64129575,1998
lawrence,140093,2608633,625802,3374528,1998
licking,144593,4190104,517692,4852389,1998
logan,715229,2110297,439506,3265032,1998
lorain,2328556,7553498,1676092,11558146,1998
lucas,20432436,25390782,6469481,52292699,1998
madison,13138,897177,30796,941111,1998
mahoning,18624356,36067078,8934600,63626034,1998
marion,974714,1933483,185926,3094123,1998
medina,2943808,5281352,647513,8872673,1998
meigs,70676,1617857,34399,1722932,1998
mercer,82928,669527,71422,823877,1998
miami,1624497,1413299,34469,3072265,1998
monroe,360406,441881,10785,813072,1998
montgomery,12633811,31781730,8510832,52926373,1998
morgan,0,373816,1248,375064,1998
morrow,112858,1673214,23726,1809798,1998
muskingum,2131331,3966411,649796,6747538,1998
noble,37574,784706,10186,832466,1998
ottawa,311777,1711762,199476,2223015,1998
paulding,82803,474588,67177,624568,1998
perry,955144,2273963,21089,3250196,1998
pickaway,412126,1922557,84553,2419236,1998
pike,146150,1386887,2238,1535275,1998
portage,1374774,4885836,319619,6580229,1998
preble,455534,1345545,85219,1886298,1998
putnam,120861,331110,20177,472148,1998
richland,2193199,6966322,1376778,10536299,1998
ross,729300,1051003,52401,1832704,1998
sandusky,225502,1187001,83993,1496496,1998
scioto,486620,2093986,445286,3025892,1998
seneca,301673,971090,56901,1329664,1998
shelby,818475,550616,62843,1431934,1998
stark,3830104,15714909,4957989,24503002,1998
summit,9414513,25432477,5258343,40105333,1998
trumbull,6885162,11896381,1163142,19944685,1998
tuscarawas,1612715,2157244,299400,4069359,1998
union,3307771,980537,24405,4312713,1998
van wert,434530,433250,22875,890655,1998
vinton,16761,505423,7093,529277,1998
warren,1531106,3449131,289807,5270044,1998
washington,174505,1115027,9351,1298883,1998
wayne,367184,2791535,737320,3896039,1998
williams,151142,773537,38575,963254,1998
wood,2299981,2605294,201095,5106370,1998
wyandot,32043,273916,1895,307854,1998
adams,169061,836478,6038,1011578,1999
allen,2506231,2364602,1113687,5984520,1999
ashland,703206,1264083,3378,1970666,1999
ashtabula,1427446,3535998,1703302,6666747,1999
athens,159069,1838002,67412,2064483,1999
auglaize,268081,785589,42704,1096374,1999
belmont,174949,3090598,326530,3592078,1999
brown,190695,1253382,162303,1606379,1999
butler,4060560,6953609,595581,11609750,1999
carroll,237297,545021,52585,834903,1999
champaign,289806,1460033,14581,1764421,1999
clark,2005447,4940678,1142391,8088516,1999
clermont,2264964,5176516,138105,7579585,1999
clinton,1227753,1233227,39529,2500510,1999
columbiana,2266956,4326291,50839,6644086,1999
coshocton,2101125,953723,18597,3073444,1999
crawford,758073,1166565,11754,1936393,1999
cuyahoga,41263474,118210861,16641110,176115444,1999
darke,219157,820788,18083,1058028,1999
defiance,32947,634479,48597,716022,1999
delaware,2468102,3561002,38942,6068047,1999
erie,1025753,3488285,670279,5184318,1999
fairfield,858316,3733916,264072,4856303,1999
fayette,502844,492172,9719,1004736,1999
franklin,27333324,45010231,868743,73212298,1999
fulton,16902,882740,19227,918870,1999
gallia,200155,705238,4e3,909393,1999
geauga,1439240,4371543,448268,6259052,1999
greene,942555,4812652,401171,6156379,1999
guernsey,781810,2470497,123405,3375712,1999
hamilton,25171899,41780388,2099926,69052212,1999
hancock,920757,1311741,33274,2265772,1999
hardin,82650,594591,16128,693368,1999
harrison,89108,1153548,22623,1265280,1999
henry,3049159,566990,91969,3708117,1999
highland,97454,857868,20476,975797,1999
hocking,305040,937453,5327,1247820,1999
holmes,44710,863077,19160,926948,1999
huron,624965,1281091,58598,1964654,1999
jackson,23838,2387765,2063,2413666,1999
jefferson,2572952,5692315,2408346,10673612,1999
knox,209116,1735272,204955,2149343,1999
lake,40248300,31335987,1238235,72822522,1999
lawrence,142008,2978846,619199,3740054,1999
licking,784708,4652112,581752,6018572,1999
logan,999537,1886469,466104,3352109,1999
lorain,3310179,9275501,1775633,14361313,1999
lucas,9626101,22922546,5044004,37592651,1999
madison,20242,1111978,100935,1233155,1999
mahoning,20258641,39499065,9622814,69380520,1999
marion,1048690,2478074,245040,3771805,1999
medina,2332732,5669428,477196,8479356,1999
meigs,113339,1767131,40958,1921428,1999
mercer,107305,688916,75593,871814,1999
miami,1391053,1528282,38465,2957800,1999
monroe,123097,511251,12989,647337,1999
montgomery,10639228,29376532,9087253,49103014,1999
morgan,68149,385763,1332,455245,1999
morrow,168609,1743519,47703,1959831,1999
muskingum,2181153,4179720,733599,7094472,1999
noble,35866,870553,10115,916535,1999
ottawa,0,1574807,175285,1750092,1999
paulding,115773,516683,50642,683097,1999
perry,985222,2212155,12254,3209631,1999
pickaway,673356,2197560,93866,2964782,1999
pike,135898,1652073,228,1788199,1999
portage,1910966,5124241,345972,7381179,1999
preble,213309,1195997,77528,1486834,1999
putnam,105823,350639,8018,464480,1999
richland,1909640,7798843,1541616,11250099,1999
ross,1227502,1274057,47872,2549431,1999
sandusky,544088,1735861,95107,2375056,1999
scioto,448373,2377103,432391,3257868,1999
seneca,652112,802490,89885,1544487,1999
shelby,1237629,729702,59219,2026550,1999
stark,4569828,16985901,5152640,26708368,1999
summit,10351795,22236220,2210980,34798995,1999
trumbull,7359911,11655280,1131909,20147100,1999
tuscarawas,1662284,2296318,95820,4054422,1999
union,849715,1443276,23769,2316759,1999
van wert,450340,406736,35766,892842,1999
vinton,17003,533718,7670,558392,1999
warren,1346453,3851520,405418,5603392,1999
washington,215137,1961140,13076,2189353,1999
wayne,425524,2847479,810770,4083773,1999
williams,46608,783931,60922,891461,1999
wood,1847978,2635875,205602,4689455,1999
wyandot,109995,351826,6407,468229,1999
adams,NA,2856102,57767,2913869,2015
allen,NA,8651371,11462254,20113625,2015
ashland,NA,3885118,309441,4194559,2015
ashtabula,NA,15209626,4370682,19580308,2015
athens,NA,8321843,834061,9155905,2015
auglaize,NA,923917,110584,1034501,2015
belmont,NA,5725528,1996724,7722252,2015
brown,NA,3631711,916127,4547838,2015
butler,NA,24047046,6008409,30055455,2015
carroll,NA,1837938,186240,2024178,2015
champaign,NA,4033846,197400,4231246,2015
clark,NA,15905203,4606587,20511790,2015
clermont,NA,8208596,345762,8554357,2015
clinton,NA,3748951,363589,4112540,2015
columbiana,NA,9696726,573418,10270144,2015
coshocton,NA,2801724,46651,2848375,2015
crawford,NA,2847205,167452,3014658,2015
cuyahoga,NA,434459880,108010651,542470531,2015
darke,NA,1684250,194475,1878725,2015
defiance,NA,1136617,154198,1290814,2015
delaware,NA,12620465,763307,13383772,2015
erie,NA,7267104,1271824,8538928,2015
fairfield,NA,10905102,757445,11662546,2015
fayette,NA,2081024,493145,2574169,2015
franklin,NA,107792688,9991299,117783987,2015
fulton,NA,2119453,81332,2200785,2015
gallia,NA,2967125,136750,3103876,2015
geauga,NA,14231307,770389,15001696,2015
greene,NA,10508108,844132,11352240,2015
guernsey,NA,6451220,1019047,7470267,2015
hamilton,NA,51846625,23822183,75668808,2015
hancock,NA,3162081,177618,3339699,2015
hardin,NA,1945593,368703,2314296,2015
harrison,NA,2309378,94844,2404223,2015
henry,NA,2256272,85547,2341818,2015
highland,NA,4596263,974053,5570316,2015
hocking,NA,2281626,102425,2384051,2015
holmes,NA,1199932,15306,1215238,2015
huron,NA,3581182,151462,3732644,2015
jackson,NA,3933776,43172,3976948,2015
jefferson,NA,7089249,3497360,10586609,2015
knox,NA,2629966,236306,2866272,2015
lake,NA,27267615,4488164,31755779,2015
lawrence,NA,5652912,1362029,7014940,2015
licking,NA,6574902,983403,7558305,2015
logan,NA,4845633,581163,5426796,2015
lorain,NA,32461278,7647370,40108648,2015
lucas,NA,76053981,20089685,96143666,2015
madison,NA,1932986,101987,2034973,2015
mahoning,NA,36689690,1661580,38351270,2015
marion,NA,7723988,1712243,9436230,2015
medina,NA,10479683,308762,10788445,2015
meigs,NA,6117877,480567,6598444,2015
mercer,NA,2191030,194372,2385402,2015
miami,NA,5094945,2367742,7462688,2015
monroe,NA,1090874,53792,1144666,2015
montgomery,NA,135031358,55093239,190124596,2015
morgan,NA,1170240,87030,1257270,2015
morrow,NA,4254265,359380,4613645,2015
muskingum,NA,15713416,2815445,18528860,2015
noble,NA,582731,23619,606350,2015
ottawa,NA,4114251,455841,4570091,2015
paulding,NA,1219680,208368,1428049,2015
perry,NA,6462420,176820,6639240,2015
pickaway,NA,3733442,207485,3940928,2015
pike,NA,4318067,38436,4356504,2015
portage,NA,14004528,1267923,15272450,2015
preble,NA,2402867,559478,2962345,2015
putnam,NA,831439,97616,929055,2015
richland,NA,14192151,2831770,17023921,2015
ross,NA,4193184,121748,4314932,2015
sandusky,NA,3613348,523931,4137279,2015
scioto,NA,10714878,1427041,12141919,2015
seneca,NA,3435661,403957,3839619,2015
shelby,NA,1887901,182125,2070025,2015
stark,NA,26358441,12891787,39250228,2015
summit,NA,74006655,47893182,121899837,2015
trumbull,NA,34526146,4260697,38786843,2015
tuscarawas,NA,4967614,623402,5591017,2015
union,NA,3679175,292366,3971541,2015
van wert,NA,631642,90013,721655,2015
vinton,NA,2533609,94832,2628442,2015
warren,NA,12548718,648330,13197048,2015
washington,NA,4341488,91670,4433158,2015
wayne,NA,6049993,690442,6740436,2015
williams,NA,1801198,132860,1934058,2015
wood,NA,6107437,6347850,12455287,2015
wyandot,NA,1120624,58328,1178952,2015
adams,NA,2809847,75463,2885310,2016
allen,NA,8266719,11789604,20056323,2016
ashland,NA,3778159,309644,4087803,2016
ashtabula,NA,15897864,3830747,19728611,2016
athens,NA,8880535,945594,9826129,2016
auglaize,NA,913256,109114,1022370,2016
belmont,NA,5532251,2082042,7614293,2016
brown,NA,4010819,967506,4978325,2016
butler,NA,22284576,4904764,27189340,2016
carroll,NA,1999405,250228,2249633,2016
champaign,NA,3781841,167408,3949249,2016
clark,NA,16412943,4714755,21127698,2016
clermont,NA,8144332,413847,8558179,2016
clinton,NA,3243710,376143,3619853,2016
columbiana,NA,8829099,899015,9728114,2016
coshocton,NA,2983733,42393,3026126,2016
crawford,NA,2898483,185665,3084148,2016
cuyahoga,NA,358978928,122078686,481057614,2016
darke,NA,1784589,186312,1970901,2016
defiance,NA,1062458,116291,1178749,2016
delaware,NA,8059318,571405,8630723,2016
erie,NA,6548437,598914,7147351,2016
fairfield,NA,9584430,789829,10374259,2016
fayette,NA,1276427,515153,1791580,2016
franklin,NA,100474546,10618146,111092692,2016
fulton,NA,1736891,49954,1786845,2016
gallia,NA,2926996,136883,3063879,2016
geauga,NA,15775247,783462,16558709,2016
greene,NA,11978014,1556887,13534901,2016
guernsey,NA,6484680,1102728,7587408,2016
hamilton,NA,49174864,9277401,58452265,2016
hancock,NA,2505672,156781,2662453,2016
hardin,NA,1704213,394871,2099084,2016
harrison,NA,2546461,86308,2632769,2016
henry,NA,2209270,98987,2308257,2016
highland,NA,4950977,1071842,6022819,2016
hocking,NA,2118287,119284,2237571,2016
holmes,NA,1040384,13538,1053922,2016
huron,NA,3667028,148397,3815425,2016
jackson,NA,3968678,41940,4010618,2016
jefferson,NA,7436258,3412572,10848830,2016
knox,NA,2479071,211462,2690533,2016
lake,NA,26017851,4737991,30755842,2016
lawrence,NA,5588053,1379799,6967852,2016
licking,NA,5477070,688047,6165117,2016
logan,NA,4648522,502666,5151188,2016
lorain,NA,32609123,6341640,38950763,2016
lucas,NA,78804657,22954008,101758665,2016
madison,NA,1846405,109360,1955765,2016
mahoning,NA,38907502,4452569,43360071,2016
marion,NA,8125942,1977102,10103044,2016
medina,NA,8698377,260639,8959016,2016
meigs,NA,6260917,484065,6744982,2016
mercer,NA,2010820,156915,2167735,2016
miami,NA,4840209,2662013,7502222,2016
